TimeStep,temp,pressure,vol,pe,ke,enthalpy,pxx,pyy,pzz,pxy,pxz,pyz,visc,time,hold_temp
0,1571.76,-5965.67,9483.98,-2345.18,101.38,-2279.12,-4337.55,-8819.19,-4740.26,294.58,2656.6,1618.93,0.000721286,0.0,1550.0
100000,1510.32,-6884.34,9483.98,-2341.61,97.4169,-2284.95,-5271.95,-10307.4,-5073.66,-2780.28,2054.57,-3761.51,0.00065102,100.0,1550.0
200000,1507.25,-4961.5,9483.98,-2335.75,97.219,-2267.9,-6602.07,-6860.9,-1421.53,1083.12,1640.08,-5132.4,0.00148603,200.0,1550.0
300000,1624.47,-1677.56,9483.98,-2334.08,104.78,-2239.23,1976.09,-3500.21,-3508.55,-1838.83,1742.19,1688.06,0.0033168,300.0,1550.0
400000,1460.07,-9735.2,9483.98,-2345.89,94.1759,-2309.35,-11865.1,-8130.51,-9210.05,691.398,412.59,-4529.55,0.00293991,400.0,1550.0
500000,1449.98,-8716.16,9483.98,-2339.7,93.5247,-2297.77,-6902.69,-6537.71,-12708.1,-25.5775,-1334.05,802.216,0.00391136,500.0,1550.0
600000,1569.41,1277.24,9483.98,-2332.47,101.228,-2223.68,-372.417,3120.7,1083.44,522.453,2498.31,913.251,0.00463453,600.0,1550.0
700000,1500.77,-3603.21,9483.98,-2340.27,96.8012,-2264.8,-4402.28,-3084.07,-3323.27,-2410.45,2338.75,982.081,0.00473256,700.0,1550.0
800000,1643.05,-4707.83,9483.98,-2339.47,105.978,-2261.36,-7181.1,-3905.15,-3037.25,-1875.95,-1562.6,-4027.36,0.00395471,800.0,1550.0
900000,1479.82,-2184.17,9483.98,-2335.58,95.4496,-2253.06,-2040.21,-1731.37,-2780.93,-667.134,2130.56,-752.984,0.00379101,900.0,1550.0
1000000,1538.56,-5820.61,9483.98,-2341.85,99.2384,-2277.07,-4260.99,-3363.03,-9837.8,238.64,-1789.12,-3021.24,0.00332406,1000.0,1550.0
1100000,1541.41,-4655.36,9483.98,-2335.47,99.4223,-2263.6,10.9203,-10103.8,-3873.24,-4581.0,-224.461,2730.67,0.00372604,1100.0,1550.0
1200000,1562.01,-5268.97,9483.98,-2338.75,100.751,-2269.19,-5103.69,-4003.08,-6700.12,-3.6936,-1433.02,-549.053,0.00339362,1200.0,1550.0
1300000,1553.01,-6412.09,9483.98,-2338.02,100.17,-2275.81,-8487.56,-5950.27,-4798.44,1507.51,3505.72,-2776.13,0.00358936,1300.0,1550.0
1400000,1597.56,-6407.98,9483.98,-2341.88,103.044,-2276.77,-6476.53,-7147.55,-5599.85,-830.844,-168.079,415.511,0.00404644,1400.0,1550.0
1500000,1616.48,-3511.55,9483.98,-2333.03,104.265,-2249.56,-8902.16,-2141.49,508.985,3112.29,-1784.39,-979.818,0.00403208,1500.0,1550.0
1600000,1511.92,-3193.42,9483.98,-2341.52,97.52,-2262.9,2565.93,-8467.02,-3679.18,-4317.16,4735.38,-1903.7,0.00417553,1600.0,1550.0
1700000,1485.71,-5284.43,9483.98,-2335.93,95.8292,-2271.39,-5073.33,-7635.86,-3144.09,-3719.91,-2208.61,-237.343,0.00421733,1700.0,1550.0
1800000,1565.04,-3644.3,9483.98,-2336.06,100.946,-2256.69,-3479.75,-3195.55,-4257.59,5355.13,-1593.72,2030.22,0.00436155,1800.0,1550.0
1900000,1580.99,-4494.7,9483.98,-2333.94,101.975,-2258.57,-3709.94,-7316.64,-2457.53,-1776.89,4376.93,-1945.1,0.00409442,1900.0,1550.0
2000000,1497.0,-4229.8,9483.98,-2334.76,96.5577,-2263.24,-4674.85,-1142.52,-6872.04,1248.34,-313.222,2747.51,0.00444361,2000.0,1550.0
2100000,1593.84,-7383.69,9483.98,-2346.62,102.804,-2287.52,-8667.18,-654.837,-12829.1,2999.07,-660.379,3563.75,0.00440365,2100.0,1550.0
2200000,1596.82,-5723.61,9483.98,-2339.78,102.996,-2270.66,-5350.47,-7256.71,-4563.66,-5582.41,-3282.82,726.135,0.00437154,2200.0,1550.0
2300000,1578.22,-2217.8,9483.98,-2332.62,101.796,-2243.95,-277.816,-677.444,-5698.14,893.579,1292.3,4078.87,0.0042463,2300.0,1550.0
2400000,1503.17,-1492.94,9483.98,-2332.51,96.9556,-2244.39,-75.5939,-2235.53,-2167.7,1831.41,1764.6,4464.6,0.00434255,2400.0,1550.0
2500000,1542.84,-3077.53,9483.98,-2334.12,99.5142,-2252.82,-4927.87,-223.376,-4081.33,1380.78,3922.84,2361.89,0.00435512,2500.0,1550.0
2600000,1571.82,-6214.01,9483.98,-2337.63,101.384,-2273.02,-8027.69,-8075.47,-2538.88,-2072.28,691.961,4780.07,0.00473074,2600.0,1550.0
2700000,1585.51,-3181.74,9483.98,-2336.89,102.267,-2253.45,-5373.79,-3656.95,-514.473,506.895,2993.04,-2362.04,0.00483354,2700.0,1550.0
2800000,1488.51,-2129.63,9483.98,-2334.96,96.01,-2251.55,2725.8,-2778.33,-6336.37,-3944.68,-5345.56,-2601.87,0.00474447,2800.0,1550.0
2900000,1543.2,-4982.51,9483.98,-2340.99,99.5374,-2270.94,-6312.56,-7607.12,-1027.86,5661.67,-5225.41,-752.035,0.00484559,2900.0,1550.0
3000000,1596.46,-4594.37,9483.98,-2337.32,102.973,-2261.54,-12314.2,-828.027,-640.905,-983.019,526.354,-3822.28,0.00493793,3000.0,1550.0
3100000,1551.31,-3923.82,9483.98,-2337.29,100.061,-2260.46,-3907.3,-5114.09,-2750.08,3.10523,694.301,-2973.07,0.00507443,3100.0,1550.0
3200000,1550.16,-6443.34,9483.98,-2333.49,99.9866,-2271.65,-7834.51,-12663.8,1168.29,-4179.04,-1399.75,-1659.76,0.0052183,3200.0,1550.0
3300000,1597.48,-7360.4,9483.98,-2343.82,103.039,-2284.35,-4958.81,-14329.9,-2792.55,-1915.7,2375.43,928.514,0.00524506,3300.0,1550.0
3400000,1627.53,707.317,9483.98,-2331.25,104.977,-2222.08,-6659.65,6733.99,2047.61,-259.638,-2129.04,-384.8,0.00514112,3400.0,1550.0
3500000,1594.97,-2118.26,9483.98,-2332.61,102.877,-2242.28,-916.696,-1854.3,-3583.78,-771.825,1793.97,3204.21,0.00501589,3500.0,1550.0
3600000,1550.73,-1148.01,9483.98,-2330.35,100.023,-2237.12,61.1716,408.946,-3914.14,-89.8457,1425.31,6179.99,0.00490678,3600.0,1550.0
3700000,1605.85,-6870.84,9483.98,-2341.04,103.579,-2278.14,-6446.71,-6634.73,-7531.08,1283.22,-1057.69,-834.651,0.00483437,3700.0,1550.0
3800000,1506.47,-8745.44,9483.98,-2344.05,97.1684,-2298.65,-14950.7,-7266.87,-4018.8,-4284.74,3175.28,-2988.79,0.00485651,3800.0,1550.0
3900000,1527.72,-3752.04,9483.98,-2334.05,98.5391,-2257.72,-3477.5,-2144.34,-5634.29,1180.7,1443.08,1205.69,0.00478182,3900.0,1550.0
4000000,1531.72,-5686.24,9483.98,-2339.98,98.7974,-2274.84,-3050.55,-5186.06,-8822.1,-59.9532,2187.66,3067.63,0.00467105,4000.0,1550.0
4100000,1576.91,-5088.15,9483.98,-2337.71,101.712,-2266.12,-2135.79,-7334.27,-5794.39,-1642.61,627.389,4151.14,0.00459575,4100.0,1550.0
4200000,1460.47,-1834.3,9483.98,-2332.14,94.2016,-2248.8,-3282.68,725.892,-2946.12,3696.18,-3230.47,1022.2,0.00471719,4200.0,1550.0
4300000,1575.54,-1139.38,9483.98,-2334.35,101.624,-2239.47,580.486,609.519,-4608.15,1008.28,1553.27,-129.825,0.00507484,4300.0,1550.0
4400000,1591.04,-3350.97,9483.98,-2334.44,102.624,-2251.65,-2058.51,-7644.88,-349.509,269.688,-4221.96,730.95,0.00493106,4400.0,1550.0
4500000,1509.57,-6006.5,9483.98,-2336.26,97.3687,-2274.44,-8873.53,-5589.41,-3556.56,1343.87,-1698.15,3575.25,0.00497688,4500.0,1550.0
4600000,1638.13,-5405.31,9483.98,-2343.38,105.661,-2269.71,-4178.32,-6527.15,-5510.46,-1547.15,1257.03,2053.44,0.00509984,4600.0,1550.0
4700000,1536.09,-5058.41,9483.98,-2340.33,99.0791,-2271.19,-6166.48,-2177.43,-6831.32,2074.82,1762.96,892.689,0.00515451,4700.0,1550.0
4800000,1506.88,-2444.36,9483.98,-2338.87,97.195,-2256.15,-2153.57,-3720.98,-1458.51,-451.62,1659.87,-2480.71,0.00504573,4800.0,1550.0
4900000,1492.94,42.2603,9483.98,-2329.19,96.2961,-2232.64,983.977,-2119.76,1262.57,-1883.19,1208.54,-1413.1,0.00500637,4900.0,1550.0
5000000,1515.14,-6656.03,9483.98,-2343.59,97.7278,-2285.27,-7309.68,-7348.74,-5309.66,440.192,-1783.79,-1399.45,0.00494259,5000.0,1550.0
5100000,1664.84,-3592.32,9483.98,-2340.56,107.384,-2254.44,1056.66,-4397.22,-7436.39,635.848,-4519.92,-4684.91,0.00497872,5100.0,1550.0
5200000,1567.48,-691.384,9483.98,-2329.65,101.103,-2232.64,3.26052,-3769.35,1691.94,5427.79,-156.512,-3396.99,0.00500616,5200.0,1550.0
5300000,1633.39,-833.938,9483.98,-2329.21,105.355,-2228.79,3446.21,-1691.27,-4256.76,-756.294,-1123.48,-764.188,0.00490757,5300.0,1550.0
5400000,1517.88,-1987.92,9483.98,-2337.35,97.9043,-2251.21,-3796.41,-3267.01,1099.66,-282.425,563.621,-3742.55,0.00493835,5400.0,1550.0
5500000,1591.81,-4726.13,9483.98,-2338.46,102.673,-2263.76,-6302.07,779.211,-8655.54,-408.848,1115.97,2412.89,0.00494248,5500.0,1550.0
5600000,1599.57,-4613.24,9483.98,-2333.07,103.174,-2257.2,-5444.18,-2510.04,-5885.51,-3047.68,-899.359,-3007.63,0.00499201,5600.0,1550.0
5700000,1596.42,-4681.18,9483.98,-2336.75,102.97,-2261.49,-5984.22,-4830.58,-3228.74,-745.619,-2890.08,1509.36,0.00501317,5700.0,1550.0
5800000,1588.8,-743.421,9483.98,-2330.91,102.479,-2232.83,-4425.88,4003.36,-1807.74,230.879,-1745.34,997.223,0.00495766,5800.0,1550.0
5900000,1547.7,-4986.74,9483.98,-2338.04,99.8281,-2267.73,-5379.63,674.171,-10254.8,2026.51,3902.49,587.684,0.00487502,5900.0,1550.0
6000000,1522.37,-271.443,9483.98,-2334.41,98.1944,-2237.83,1116.04,-947.779,-982.585,1807.35,-1670.15,3969.58,0.00491149,6000.0,1550.0
