TimeStep,temp,pressure,vol,pe,ke,enthalpy,pxx,pyy,pzz,pxy,pxz,pyz,visc,time,hold_temp
0,1728.17,587.106,9474.62,-2327.5,111.468,-2212.56,8057.0,-1786.59,-4509.09,-274.895,-2076.08,396.27,0.00031489,0.0,1650.0
100000,1652.2,-4570.87,9474.62,-2334.74,106.568,-2255.2,-4842.6,-3497.13,-5372.89,3411.87,842.626,2000.9,-0.00226104,100.0,1650.0
200000,1638.0,-5833.44,9474.62,-2333.15,105.652,-2261.99,-1988.21,-8074.88,-7437.24,-1291.28,650.406,2268.68,0.00155622,200.0,1650.0
300000,1716.24,-2509.98,9474.62,-2331.38,110.699,-2235.53,-2457.99,-6000.26,928.29,714.472,1327.48,-859.148,0.00288246,300.0,1650.0
400000,1615.44,-2421.22,9474.62,-2322.25,104.197,-2232.37,-2808.1,-985.502,-3470.05,1621.02,-2605.07,74.129,0.00228512,400.0,1650.0
500000,1581.86,-2239.43,9474.62,-2327.45,102.031,-2238.66,2315.14,-2787.69,-6245.75,2737.36,1940.28,-1535.41,0.00217806,500.0,1650.0
600000,1629.59,-654.786,9474.62,-2325.05,105.11,-2223.81,3825.36,-2264.05,-3525.67,510.915,-1683.37,-240.441,0.0014549,600.0,1650.0
700000,1672.25,-5618.15,9474.62,-2331.31,107.861,-2256.67,-3136.47,-5603.43,-8114.55,-299.597,-1659.66,-2303.87,0.00129234,700.0,1650.0
800000,1670.6,-1539.69,9474.62,-2318.22,107.755,-2219.58,-3352.28,-877.044,-389.757,-6817.02,4322.83,-619.987,0.00121624,800.0,1650.0
900000,1645.72,-261.09,9474.62,-2325.54,106.151,-2220.93,-288.465,-1054.54,559.736,-2733.91,1628.35,-802.282,0.00102048,900.0,1650.0
1000000,1713.01,-3952.49,9474.62,-2329.77,110.491,-2242.65,-3465.89,-2390.9,-6000.67,117.842,-1385.65,-73.8392,0.00138319,1000.0,1650.0
1100000,1716.81,-4659.9,9474.62,-2335.35,110.736,-2252.17,-5544.24,-1635.68,-6799.78,-5207.63,-1447.38,3408.09,0.00155701,1100.0,1650.0
1200000,1670.37,-4670.16,9474.62,-2332.54,107.74,-2252.41,-9701.12,-3161.66,-1147.7,1801.95,-2623.31,259.638,0.00135463,1200.0,1650.0
1300000,1606.73,-3937.93,9474.62,-2327.35,103.635,-2247.01,-4151.89,-346.633,-7315.25,4799.45,1143.78,1760.1,0.00133422,1300.0,1650.0
1400000,1534.17,-2920.45,9474.62,-2323.77,98.9549,-2242.09,-4419.62,-5864.49,1522.76,23.0697,-3048.57,5204.61,0.00134841,1400.0,1650.0
1500000,1572.15,-2563.21,9474.62,-2330.06,101.405,-2243.81,1430.31,-6329.9,-2790.04,-3182.75,2020.15,1616.62,0.00184892,1500.0,1650.0
1600000,1652.53,-1309.96,9474.62,-2325.07,106.59,-2226.23,351.826,-3903.5,-378.218,735.304,382.856,-4405.59,0.00191039,1600.0,1650.0
1700000,1695.78,-3389.48,9474.62,-2326.45,109.379,-2237.12,2400.75,-7490.3,-5078.9,1619.8,508.932,-510.66,0.00173072,1700.0,1650.0
1800000,1677.35,-5209.0,9474.62,-2333.34,108.191,-2255.95,-5022.14,-2818.87,-7785.99,3367.93,4898.46,-638.461,0.00165322,1800.0,1650.0
1900000,1683.61,-223.342,9474.62,-2329.23,108.594,-2221.95,-2340.47,3928.49,-2258.04,-1850.0,-1563.81,-5230.35,0.00172704,1900.0,1650.0
2000000,1706.9,-166.825,9474.62,-2325.58,110.097,-2216.47,2738.33,-696.716,-2542.09,2272.95,812.015,-41.4406,0.00187071,2000.0,1650.0
2100000,1717.37,-2588.04,9474.62,-2327.56,110.772,-2232.09,-923.043,-1094.77,-5746.3,-297.379,307.904,-1587.28,0.00236352,2100.0,1650.0
2200000,1684.8,-2280.38,9474.62,-2323.5,108.671,-2228.31,-5388.78,-3082.57,1630.21,-88.2031,-749.96,-793.136,0.00214306,2200.0,1650.0
2300000,1628.72,-1609.68,9474.62,-2331.13,105.054,-2235.6,-480.501,-3324.21,-1024.32,3106.32,461.735,2964.36,0.00232858,2300.0,1650.0
2400000,1587.06,-5553.3,9474.62,-2335.8,102.366,-2266.28,-8229.0,-3826.31,-4604.58,2032.06,3478.52,987.655,0.00255535,2400.0,1650.0
2500000,1569.44,-5393.06,9474.62,-2332.54,101.23,-2263.2,-5853.95,-4983.61,-5341.63,-1828.67,584.867,1015.15,0.00246992,2500.0,1650.0
