TimeStep,temp,pressure,vol,pe,ke,enthalpy,pxx,pyy,pzz,pxy,pxz,pyz,visc,time,hold_temp
0,590.096,4562.74,8842.44,-2450.82,38.0617,-2387.58,5217.28,8177.64,293.305,-1079.27,-371.528,-3719.98,0.00269367,0.0,600.0
100000,673.25,5785.18,8842.44,-2449.92,43.4252,-2374.57,7787.05,7002.63,2565.87,-704.517,546.5,-2541.47,1.63047,100.0,600.0
200000,605.918,4593.31,8842.44,-2448.17,39.0822,-2383.74,3702.2,9913.42,164.319,-1407.27,-970.677,-3097.47,1.19824,200.0,600.0
300000,594.251,2732.75,8842.44,-2453.68,38.3297,-2400.27,3467.74,6446.3,-1715.79,-610.98,-517.568,-2046.13,1.19175,300.0,600.0
400000,598.078,3036.42,8842.44,-2452.97,38.5765,-2397.64,3486.94,3436.36,2185.97,-1202.08,2194.26,-3574.76,1.16392,400.0,600.0
500000,570.791,4236.33,8842.44,-2450.42,36.8165,-2390.23,3986.87,5278.34,3443.78,825.749,1295.94,-50.705,1.14284,500.0,600.0
600000,626.296,4794.07,8842.44,-2449.73,40.3966,-2382.87,3071.97,8320.55,2989.69,1414.01,1224.55,364.659,1.16402,600.0,600.0
700000,582.787,4825.25,8842.44,-2449.76,37.5903,-2385.54,6755.88,5962.67,1757.21,-228.207,1495.95,-2697.76,1.14134,700.0,600.0
800000,571.673,4165.86,8842.44,-2450.56,36.8734,-2390.69,5656.48,6091.01,750.078,-3462.76,-3313.28,-985.676,1.13787,800.0,600.0
900000,611.688,6383.79,8842.44,-2448.22,39.4543,-2373.53,9377.15,6709.1,3065.11,1153.17,1901.72,-2919.08,1.11752,900.0,600.0
1000000,634.98,2789.96,8842.44,-2452.19,40.9567,-2395.84,2383.34,5930.97,55.5635,780.244,-1770.26,-2553.31,1.08938,1000.0,600.0
1100000,588.84,1945.06,8842.44,-2454.12,37.9806,-2405.4,453.3,7238.4,-1856.53,15.7879,1168.81,-377.116,1.10922,1100.0,600.0
1200000,596.09,4239.61,8842.44,-2451.93,38.4483,-2390.09,5685.56,6563.38,469.89,-1667.2,578.791,-2502.8,1.17748,1200.0,600.0
1300000,623.82,3753.57,8842.44,-2450.15,40.2369,-2389.2,2793.91,5379.26,3087.54,-1545.28,130.495,-567.839,1.23136,1300.0,600.0
1400000,616.549,3300.01,8842.44,-2452.48,39.7679,-2394.5,3210.93,5023.47,1665.63,-433.759,1403.64,-308.927,1.27728,1400.0,600.0
1500000,584.717,4238.62,8842.44,-2448.25,37.7147,-2387.15,6463.37,6174.67,77.8065,1923.34,1379.68,2235.84,1.30318,1500.0,600.0
