TimeStep,temp,pressure,vol,pe,ke,enthalpy,pxx,pyy,pzz,pxy,pxz,pyz,visc,time,hold_temp
0,539.652,-6643.97,6926.59,-2837.34,34.808,-2831.26,-11977.3,-10795.8,2841.11,2298.18,212.858,4784.7,0.00429026,0.0,550.0
100000,551.303,-3402.5,6926.59,-2836.27,35.5595,-2815.42,-13784.3,-3645.71,7222.54,5956.61,1612.51,6770.29,16.3681,100.0,550.0
200000,588.886,-3140.42,6926.59,-2836.73,37.9836,-2812.32,-6762.6,-7550.39,4891.74,3428.31,1019.21,7089.37,16.5214,200.0,550.0
300000,539.5,-4890.54,6926.59,-2833.96,34.7982,-2820.31,-11476.6,-9517.32,6322.36,6420.7,2820.78,8781.72,16.6385,300.0,550.0
400000,557.264,-4861.21,6926.59,-2835.9,35.944,-2820.97,-8986.64,-8631.52,3034.53,7164.15,2057.29,2508.21,16.6746,400.0,550.0
500000,572.241,-4564.64,6926.59,-2838.77,36.91,-2821.59,-12027.5,-6994.8,5328.39,3824.45,709.788,4956.72,16.7331,500.0,550.0
600000,557.635,-6525.68,6926.59,-2839.77,35.9679,-2832.02,-11133.8,-12731.8,4288.54,3841.19,291.213,3985.3,16.8536,600.0,550.0
700000,540.119,-7000.69,6926.59,-2839.09,34.8381,-2834.51,-13252.4,-12207.4,4457.76,5799.41,1289.72,4624.87,16.8703,700.0,550.0
800000,535.01,-5663.44,6926.59,-2839.61,34.5086,-2829.59,-13661.5,-5510.93,2182.13,7274.83,2237.91,3168.76,16.8593,800.0,550.0
900000,565.618,-6406.88,6926.59,-2836.72,36.4828,-2827.94,-10424.3,-9851.32,1054.98,3669.52,-104.448,8003.47,16.8383,900.0,550.0
1000000,516.05,-6924.77,6926.59,-2838.89,33.2856,-2835.54,-15768.0,-11631.6,6625.36,3049.14,-1130.31,5543.28,16.864,1000.0,550.0
1100000,536.318,-3277.81,6926.59,-2836.79,34.593,-2816.37,-11136.4,-6737.35,8040.32,7802.09,-1068.59,5366.44,17.0067,1100.0,550.0
1200000,545.738,-4108.23,6926.59,-2835.44,35.2005,-2818.0,-11708.4,-4736.85,4120.54,5539.76,-1000.49,8754.19,17.0117,1200.0,550.0
1300000,572.751,-4440.45,6926.59,-2836.61,36.9429,-2818.87,-9807.84,-7007.5,3493.98,3241.51,859.813,5186.56,17.0482,1300.0,550.0
1400000,569.403,-4134.16,6926.59,-2836.78,36.7269,-2817.93,-10627.8,-5985.16,4210.43,7100.52,-1760.45,7478.09,17.0597,1400.0,550.0
1500000,550.691,-4966.67,6926.59,-2834.78,35.52,-2820.74,-10906.7,-6809.97,2816.69,3678.7,3642.85,5155.96,17.0707,1500.0,550.0
1600000,564.918,-4306.58,6926.59,-2836.3,36.4377,-2818.48,-12464.7,-4203.82,3748.76,4274.75,644.281,4455.88,17.0577,1600.0,550.0
1700000,568.472,-6765.63,6926.59,-2839.45,36.6669,-2832.03,-16411.1,-7878.0,3992.18,5433.95,-1297.81,4957.7,17.0127,1700.0,550.0
1800000,557.099,-4170.67,6926.59,-2835.58,35.9334,-2817.68,-14334.5,-5355.97,7178.49,2924.65,3474.35,4726.27,16.9822,1800.0,550.0
1900000,539.516,-4638.83,6926.59,-2838.94,34.7992,-2824.2,-14324.0,-3452.79,3860.29,3416.53,-1261.23,7857.2,16.9602,1900.0,550.0
2000000,548.003,-6049.16,6926.59,-2837.49,35.3466,-2828.3,-10995.9,-10071.5,2919.96,2545.07,1662.74,3850.42,16.9528,2000.0,550.0
2100000,539.217,-6885.19,6926.59,-2837.29,34.78,-2832.28,-12540.3,-9296.46,1181.24,3257.19,3520.1,5713.53,16.9393,2100.0,550.0
2200000,496.456,-7349.81,6926.59,-2839.28,32.0218,-2839.03,-16161.2,-9450.74,3562.54,4625.73,280.285,3627.18,16.9334,2200.0,550.0
2300000,551.713,-4295.54,6926.59,-2836.98,35.5859,-2819.97,-13404.6,-4567.07,5085.08,4144.39,-2446.28,6656.53,16.9226,2300.0,550.0
2400000,532.956,-6018.24,6926.59,-2836.98,34.3761,-2828.63,-13650.7,-7179.85,2775.81,3091.59,-3836.22,4131.0,16.9078,2400.0,550.0
2500000,560.046,-4454.72,6926.59,-2836.77,36.1234,-2819.9,-11035.9,-6949.87,4621.55,3013.35,-1948.74,10223.1,16.9097,2500.0,550.0
2600000,544.42,-5236.05,6926.59,-2837.34,35.1155,-2824.86,-13685.2,-4725.74,2702.82,4438.23,-3666.95,6531.89,16.9034,2600.0,550.0
2700000,552.075,-5404.59,6926.59,-2836.4,35.6093,-2824.15,-13581.3,-6548.53,3916.05,5300.97,-2563.76,7657.89,16.8995,2700.0,550.0
2800000,541.356,-4000.48,6926.59,-2835.2,34.9179,-2817.58,-14502.7,-807.616,3308.84,3193.8,-3529.49,6578.33,16.896,2800.0,550.0
2900000,557.024,-5165.2,6926.59,-2835.2,35.9285,-2821.61,-12239.6,-8213.41,4957.39,4139.65,104.953,7920.13,16.8973,2900.0,550.0
3000000,553.175,-5160.27,6926.59,-2836.62,35.6803,-2823.25,-11765.4,-8439.41,4723.97,5834.87,-1935.31,8084.52,16.8977,3000.0,550.0
3100000,543.042,-3672.93,6926.59,-2835.46,35.0266,-2816.31,-11226.3,-6370.37,6577.91,4803.64,-705.711,8225.78,16.8844,3100.0,550.0
3200000,589.667,-3885.03,6926.59,-2836.16,38.034,-2814.92,-9802.13,-8606.19,6753.24,2698.28,-1704.4,5251.54,16.8809,3200.0,550.0
3300000,545.135,-5255.58,6926.59,-2837.28,35.1617,-2824.84,-11582.3,-7900.91,3716.53,4102.27,1197.43,3260.1,16.8758,3300.0,550.0
3400000,549.901,-4493.7,6926.59,-2833.74,35.4691,-2817.7,-10559.4,-8028.17,5106.5,3846.64,-1744.71,4539.94,16.8737,3400.0,550.0
3500000,575.654,-5301.27,6926.59,-2836.82,37.1302,-2822.61,-14548.5,-5410.21,4054.91,6862.99,362.376,1871.81,16.8698,3500.0,550.0
3600000,521.653,-7011.75,6926.59,-2837.67,33.647,-2834.34,-15077.4,-8827.31,2869.45,3535.1,2940.67,3961.3,16.8709,3600.0,550.0
3700000,536.977,-4151.16,6926.59,-2834.84,34.6354,-2818.15,-10401.9,-9905.53,7853.97,5003.61,-295.003,5508.84,16.8727,3700.0,550.0
3800000,565.61,-7279.9,6926.59,-2838.45,36.4823,-2833.44,-14555.7,-11768.6,4484.58,4405.22,2794.71,8005.46,16.8817,3800.0,550.0
3900000,551.807,-4537.77,6926.59,-2835.81,35.592,-2819.84,-12051.5,-6259.64,4697.81,7266.89,-2122.0,8460.42,16.8815,3900.0,550.0
4000000,556.086,-5772.87,6926.59,-2838.43,35.868,-2827.52,-14889.9,-7562.91,5134.23,7164.26,933.472,1339.44,16.8769,4000.0,550.0
4100000,542.792,-5475.69,6926.59,-2838.84,35.0105,-2827.5,-11968.2,-9136.7,4677.8,4783.2,1026.19,2185.23,16.8846,4100.0,550.0
4200000,592.031,-6018.56,6926.59,-2839.78,38.1865,-2827.61,-14268.8,-7069.47,3282.54,5312.02,-19.5893,2165.64,16.8904,4200.0,550.0
4300000,542.851,-5678.48,6926.59,-2838.8,35.0143,-2828.34,-13393.9,-7821.16,4179.68,6092.56,-805.224,568.034,16.8916,4300.0,550.0
4400000,556.847,-5442.03,6926.59,-2837.06,35.9171,-2824.67,-14370.1,-5854.82,3898.84,5004.41,-2158.1,9789.14,16.8923,4400.0,550.0
4500000,527.449,-5430.99,6926.59,-2836.49,34.0209,-2825.95,-12750.3,-6515.35,2972.65,2366.97,-1027.04,4915.31,16.8903,4500.0,550.0
4600000,561.72,-4510.28,6926.59,-2836.44,36.2314,-2819.71,-14762.6,-5200.39,6432.09,4126.52,-15.4649,3706.25,16.8813,4600.0,550.0
4700000,556.239,-4057.85,6926.59,-2836.02,35.8779,-2817.68,-15515.6,-1138.19,4480.21,3396.89,543.155,8182.42,16.8721,4700.0,550.0
4800000,559.041,-5981.64,6926.59,-2835.85,36.0586,-2825.66,-16474.7,-5694.89,4224.69,4826.96,-2541.61,5867.29,16.8706,4800.0,550.0
