TimeStep,temp,pressure,vol,pe,ke,enthalpy,pxx,pyy,pzz,pxy,pxz,pyz,visc,time,hold_temp
0,1178.27,2990.7,5940.12,-2177.1,75.9997,-2090.01,2567.03,4279.73,2125.34,-2571.62,-705.583,-3137.24,0.0010571,0.0,1150.0
100000,1195.54,-3996.27,5940.12,-2179.57,77.1131,-2117.28,-2109.7,-11868.0,1988.93,-4399.2,-1701.3,-3588.06,0.0165151,100.0,1150.0
200000,1186.44,2893.1,5940.12,-2179.46,76.5261,-2092.21,3614.42,-455.648,5520.52,2315.09,-3082.78,-2709.22,0.0108776,200.0,1150.0
300000,1078.08,-5485.55,5940.12,-2182.9,69.5373,-2133.7,-7003.12,-3673.79,-5779.75,4844.14,-3963.21,1596.79,0.0175549,300.0,1150.0
400000,1103.67,1668.87,5940.12,-2179.73,71.1876,-2102.35,10.0035,4884.96,111.646,62.4018,1532.49,-1280.71,0.0126142,400.0,1150.0
500000,1116.8,2164.97,5940.12,-2176.64,72.0348,-2096.58,1085.7,-761.302,6170.51,-1544.12,995.313,-3532.31,0.00975698,500.0,1150.0
600000,1166.4,3420.48,5940.12,-2175.87,75.2336,-2087.95,43.5702,1893.99,8323.87,-7483.04,-1364.79,-4877.72,0.00831619,600.0,1150.0
700000,1087.97,100.045,5940.12,-2180.29,70.1748,-2109.74,-1480.15,-474.222,2254.51,-3839.32,6417.35,-4688.55,0.00761466,700.0,1150.0
800000,1119.55,8273.84,5940.12,-2175.58,72.2117,-2072.69,8714.99,4741.21,11365.3,4848.42,-2129.54,207.908,0.00702479,800.0,1150.0
900000,1136.31,1981.6,5940.12,-2179.03,73.2928,-2098.39,13116.7,-6287.38,-884.529,-3545.67,-3094.69,3774.6,0.00788354,900.0,1150.0
1000000,1220.78,1787.24,5940.12,-2179.61,78.7416,-2094.24,4187.63,-1004.52,2178.61,5405.36,206.495,-6011.64,0.00594661,1000.0,1150.0
1100000,1173.21,16802.4,5940.12,-2171.57,75.6727,-2033.6,14827.6,20959.4,14620.2,-4576.88,171.384,2073.12,0.00498109,1100.0,1150.0
