TimeStep,temp,pressure,vol,pe,ke,enthalpy,pxx,pyy,pzz,pxy,pxz,pyz,visc,time,hold_temp
0,1745.51,1928.22,6272.92,-2110.16,112.587,-1990.02,1943.03,-2353.69,6195.32,6972.62,-2963.68,-460.452,0.00249296,0.0,1750.0
100000,1677.61,-2365.15,6272.92,-2110.93,108.207,-2011.99,-2823.68,-3724.37,-547.394,-3684.6,-2526.58,6482.76,0.0140761,100.0,1750.0
200000,1736.42,-1692.12,6272.92,-2111.96,112.001,-2006.58,-5425.82,8425.44,-8075.99,-2729.3,7412.32,756.61,0.0045315,200.0,1750.0
300000,1707.49,-4863.6,6272.92,-2118.01,110.134,-2026.92,-9705.36,-3913.9,-971.545,-2684.04,-4495.83,-324.286,0.00554126,300.0,1750.0
400000,1762.41,-1684.92,6272.92,-2112.05,113.677,-2004.97,3677.38,-3386.37,-5345.77,4272.43,-5541.75,4968.01,0.00805669,400.0,1750.0
500000,1877.14,-54.2645,6272.92,-2114.43,121.077,-1993.56,5698.48,-3888.56,-1972.71,2072.77,3897.29,3805.16,0.00636911,500.0,1750.0
600000,1785.28,-3208.05,6272.92,-2113.18,115.152,-2010.59,2189.04,-7168.38,-4644.81,289.901,-1133.21,7335.26,0.00524638,600.0,1750.0
700000,1678.92,1783.94,6272.92,-2106.73,108.292,-1991.45,-1890.49,6662.53,579.773,787.712,-4083.8,2073.14,0.00445282,700.0,1750.0
800000,1781.36,11323.0,6272.92,-2102.0,114.899,-1942.77,20014.1,2377.32,11577.7,730.396,-1161.32,4735.95,0.00388976,800.0,1750.0
900000,1699.13,-5511.28,6272.92,-2116.93,109.595,-2028.91,-502.393,-6925.31,-9106.13,-988.956,643.75,-3755.63,0.00351791,900.0,1750.0
1000000,1626.87,2619.41,6272.92,-2105.85,104.934,-1990.66,6101.14,6725.48,-4968.39,-3460.99,-4298.38,263.607,0.00300231,1000.0,1750.0
1100000,1770.22,-3329.29,6272.92,-2117.53,114.181,-2016.38,-8524.84,-4068.12,2605.09,1350.86,274.093,3307.88,0.00282664,1100.0,1750.0
1200000,1661.3,543.264,6272.92,-2111.33,107.155,-2002.05,932.735,402.284,294.775,288.864,-489.662,1941.73,0.00290107,1200.0,1750.0
1300000,1729.14,5523.77,6272.92,-2106.42,111.531,-1973.26,7418.42,4178.75,4974.15,2604.45,490.576,-2936.82,0.00306207,1300.0,1750.0
1400000,1719.1,1914.16,6272.92,-2111.77,110.883,-1993.39,-4089.26,2876.55,6955.19,-4322.82,-4472.3,2061.42,0.00336661,1400.0,1750.0
1500000,1757.27,5879.08,6272.92,-2110.51,113.346,-1974.15,8592.25,4713.0,4331.98,-1047.97,-2374.17,-6558.39,0.00410652,1500.0,1750.0
1600000,1722.92,-237.797,6272.92,-2110.62,111.13,-2000.42,6664.6,6083.73,-13461.7,227.789,1908.36,6922.78,0.00403157,1600.0,1750.0
1700000,1664.29,797.227,6272.92,-2113.82,107.348,-2003.35,3683.72,-4765.65,3473.61,-3593.61,169.697,-4982.08,0.0039359,1700.0,1750.0
1800000,1776.53,6092.1,6272.92,-2109.72,114.588,-1971.28,-602.276,3608.58,15270.0,-864.44,5564.2,-267.604,0.00388024,1800.0,1750.0
1900000,1846.51,-1781.19,6272.92,-2116.85,119.102,-2004.72,-1260.85,-2721.65,-1361.08,1803.96,-2273.2,459.582,0.00391129,1900.0,1750.0
2000000,1827.66,110.893,6272.92,-2114.61,117.886,-1996.29,-3686.09,4576.53,-557.766,-1680.73,1522.95,6252.1,0.00373074,2000.0,1750.0
2100000,1738.66,-1801.52,6272.92,-2111.64,112.145,-2006.55,-190.244,-2282.95,-2931.36,3005.36,-2568.09,1325.12,0.00376114,2100.0,1750.0
2200000,1703.29,-1992.8,6272.92,-2110.87,109.863,-2008.81,8868.79,-6643.27,-8203.93,9835.04,-3281.32,-3821.37,0.00337624,2200.0,1750.0
2300000,1823.38,2073.22,6272.92,-2111.09,117.61,-1985.36,7632.35,5993.92,-7406.62,2458.26,-2604.15,3606.12,0.00346799,2300.0,1750.0
2400000,1789.95,-685.429,6272.92,-2112.29,115.453,-1999.52,2361.61,3116.27,-7534.16,2111.08,3085.48,-959.681,0.00321221,2400.0,1750.0
2500000,1716.73,607.744,6272.92,-2111.38,110.731,-1998.27,-8283.95,7361.73,2745.45,5729.16,-10208.6,1494.31,0.00322081,2500.0,1750.0
2600000,1684.25,710.211,6272.92,-2113.12,108.636,-2001.71,4780.58,-4362.35,1712.4,-4138.64,-4618.11,-4926.46,0.00312987,2600.0,1750.0
