TimeStep,temp,pressure,vol,pe,ke,enthalpy,pxx,pyy,pzz,pxy,pxz,pyz,visc,time,hold_temp
0,397.035,-2370.36,10608.5,-2843.11,25.6091,-2833.2,513.23,-5098.88,-2525.45,2228.93,-275.938,2892.9,0.00429426,0.0,400.0
100000,415.717,-1973.0,10608.5,-2843.69,26.8141,-2829.94,-195.607,-3460.06,-2263.35,1691.78,681.288,2348.77,5.25715,100.0,400.0
200000,403.917,-3062.22,10608.5,-2845.33,26.053,-2839.56,-1391.86,-3793.75,-4001.04,1480.88,-1020.97,2573.56,5.29787,200.0,400.0
300000,398.49,-2657.78,10608.5,-2844.12,25.703,-2836.01,-1421.15,-3307.02,-3245.18,1138.42,898.584,818.995,5.29485,300.0,400.0
400000,389.77,-2491.55,10608.5,-2845.46,25.1405,-2836.82,1513.68,-4852.45,-4135.89,816.031,284.565,-759.772,5.29003,400.0,400.0
500000,410.167,-2267.1,10608.5,-2844.43,26.4561,-2832.99,-1378.64,-2167.99,-3254.66,2534.62,76.9126,1220.31,5.17021,500.0,400.0
600000,415.499,-2127.63,10608.5,-2845.0,26.8001,-2832.29,262.503,-3023.18,-3622.21,2919.02,277.236,1879.98,5.16688,600.0,400.0
700000,386.269,-1915.8,10608.5,-2842.69,24.9147,-2830.46,-961.938,-3466.35,-1319.12,326.271,-538.691,3265.91,5.15525,700.0,400.0
800000,384.688,-2123.68,10608.5,-2844.14,24.8127,-2833.39,-57.3656,-3057.9,-3255.78,377.049,-678.779,1902.49,5.14752,800.0,400.0
900000,392.147,-2993.12,10608.5,-2845.32,25.2938,-2839.84,903.916,-6200.73,-3682.55,3831.35,-1079.4,3078.47,5.0607,900.0,400.0
1000000,405.947,-2438.02,10608.5,-2844.25,26.1839,-2834.21,1946.72,-5125.06,-4135.72,2024.2,-1354.47,2196.01,5.06721,1000.0,400.0
1100000,383.084,-1827.01,10608.5,-2842.6,24.7092,-2829.99,-1166.2,-3059.39,-1255.43,1462.72,809.008,968.811,5.09497,1100.0,400.0
1200000,399.44,-2367.55,10608.5,-2842.78,25.7642,-2832.69,-368.685,-4212.67,-2521.3,2237.43,480.767,2712.25,5.1092,1200.0,400.0
1300000,402.448,-3056.88,10608.5,-2843.95,25.9582,-2838.23,-161.623,-2484.98,-6524.05,456.368,715.69,3095.5,5.10328,1300.0,400.0
1400000,402.05,-3744.06,10608.5,-2845.16,25.9325,-2844.01,-1668.95,-5212.8,-4350.43,1257.62,362.822,1952.47,5.11364,1400.0,400.0
1500000,406.791,-2796.37,10608.5,-2844.37,26.2383,-2836.65,-476.871,-3908.61,-4003.63,1164.27,332.337,2216.85,5.1262,1500.0,400.0
1600000,410.407,-1406.92,10608.5,-2843.07,26.4716,-2825.92,1260.73,-3169.04,-2312.44,514.207,543.856,1733.82,5.0888,1600.0,400.0
1700000,405.415,-2250.63,10608.5,-2843.68,26.1496,-2832.43,206.789,-5293.67,-1665.01,933.718,-1812.06,2580.66,5.07331,1700.0,400.0
1800000,410.194,-2190.59,10608.5,-2843.87,26.4578,-2831.92,495.715,-4680.65,-2386.83,2651.29,-60.4011,2431.63,5.07545,1800.0,400.0
1900000,376.622,-2570.64,10608.5,-2844.53,24.2924,-2837.26,1589.59,-5875.0,-3426.52,2098.13,764.884,2061.95,5.0749,1900.0,400.0
2000000,408.856,-2164.65,10608.5,-2844.12,26.3715,-2832.09,-800.398,-4011.19,-1682.37,2103.75,1183.72,1286.0,5.07142,2000.0,400.0
2100000,393.429,-2743.14,10608.5,-2843.97,25.3765,-2836.76,297.262,-4216.9,-4309.78,2534.97,-920.205,515.116,5.05206,2100.0,400.0
2200000,361.98,-2672.48,10608.5,-2842.22,23.348,-2836.57,405.905,-4009.85,-4413.48,1593.77,-1109.57,4251.03,5.04885,2200.0,400.0
2300000,389.199,-2833.44,10608.5,-2843.65,25.1037,-2837.31,42.4915,-3171.19,-5371.62,2014.52,370.512,3069.57,5.06812,2300.0,400.0
2400000,396.106,-1570.66,10608.5,-2843.46,25.5492,-2828.31,1099.63,-1146.2,-4665.39,1929.01,-673.195,2137.72,5.07751,2400.0,400.0
2500000,414.926,-1348.36,10608.5,-2842.87,26.7631,-2825.04,3890.44,-6056.89,-1878.63,1513.64,-948.531,2789.91,5.07008,2500.0,400.0
2600000,399.259,-3344.07,10608.5,-2844.79,25.7525,-2841.18,-91.3037,-7276.84,-2664.06,-178.687,-2201.03,1554.34,5.06094,2600.0,400.0
2700000,386.361,-2110.77,10608.5,-2842.65,24.9206,-2831.71,-122.659,-3525.37,-2684.3,990.367,179.907,2154.88,5.06314,2700.0,400.0
2800000,404.093,-1334.52,10608.5,-2843.38,26.0643,-2826.15,3210.89,-4966.61,-2247.84,1783.86,-215.601,1788.67,5.07187,2800.0,400.0
2900000,394.341,-2452.67,10608.5,-2843.85,25.4353,-2834.65,-956.762,-2308.27,-4092.99,1327.81,1021.69,3077.22,5.06119,2900.0,400.0
3000000,382.802,-2857.76,10608.5,-2844.23,24.691,-2838.46,-15.7183,-4354.61,-4202.94,896.246,693.117,2308.66,5.05959,3000.0,400.0
3100000,413.36,-1565.69,10608.5,-2844.58,26.6621,-2828.28,3280.67,-4341.76,-3635.97,1051.75,514.538,2760.83,5.06556,3100.0,400.0
3200000,404.821,-2614.25,10608.5,-2843.3,26.1113,-2834.5,192.676,-3926.65,-4108.78,2030.29,55.0271,2480.03,5.03341,3200.0,400.0
3300000,385.6,-2887.78,10608.5,-2844.6,24.8715,-2838.85,23.615,-5070.71,-3616.24,2680.96,280.489,1877.93,5.03594,3300.0,400.0
3400000,405.358,-3703.25,10608.5,-2844.09,26.1459,-2842.46,-627.407,-6063.43,-4418.9,2827.3,584.91,2749.81,5.03807,3400.0,400.0
3500000,427.263,-1864.06,10608.5,-2841.99,27.5588,-2826.77,1077.61,-1894.42,-4775.37,2305.83,-73.8566,644.945,5.04251,3500.0,400.0
3600000,372.98,-2494.74,10608.5,-2844.55,24.0575,-2837.01,-646.716,-4635.13,-2202.36,1562.98,-1381.09,3483.47,5.04358,3600.0,400.0
3700000,384.79,-2123.69,10608.5,-2843.86,24.8193,-2833.1,-1214.76,-2392.15,-2764.15,3486.38,-98.3329,1713.83,5.04756,3700.0,400.0
3800000,380.342,-3002.52,10608.5,-2844.77,24.5324,-2840.12,-1268.23,-3668.81,-4070.51,1965.84,-1043.61,1122.81,5.05493,3800.0,400.0
3900000,416.655,-1538.16,10608.5,-2843.78,26.8746,-2827.09,227.952,-2852.76,-1989.67,2807.82,76.6971,1779.89,5.05344,3900.0,400.0
4000000,402.835,-2708.96,10608.5,-2844.9,25.9832,-2836.86,-1054.23,-4901.79,-2170.86,2035.91,-741.929,2630.71,5.05361,4000.0,400.0
4100000,395.851,-2024.95,10608.5,-2844.39,25.5327,-2832.26,-253.153,-3123.89,-2697.79,722.935,794.796,3621.46,5.06146,4100.0,400.0
4200000,397.016,-2408.05,10608.5,-2845.27,25.6078,-2835.6,-1864.35,-2794.12,-2565.69,530.845,-398.018,1189.06,5.06995,4200.0,400.0
4300000,427.306,-1970.75,10608.5,-2843.4,27.5616,-2828.89,873.082,-4031.26,-2754.07,95.1457,-726.608,3002.06,5.07024,4300.0,400.0
4400000,376.232,-2311.16,10608.5,-2843.41,24.2673,-2834.44,-1632.51,-2001.48,-3299.51,1340.87,-501.968,2297.96,5.06241,4400.0,400.0
4500000,403.02,-1896.92,10608.5,-2843.46,25.9951,-2830.02,-2811.43,-2998.58,119.248,2227.45,235.155,2079.08,5.06161,4500.0,400.0
4600000,435.223,-2522.44,10608.5,-2843.59,28.0722,-2832.22,9.07964,-3312.98,-4263.41,2507.44,-955.19,2682.17,5.05936,4600.0,400.0
4700000,386.697,-2544.04,10608.5,-2844.34,24.9423,-2836.24,1149.9,-3473.03,-5309.0,1154.83,-936.638,2717.42,5.06131,4700.0,400.0
4800000,405.457,-2050.87,10608.5,-2842.67,26.1523,-2830.1,1045.59,-3649.38,-3548.82,1737.32,-816.09,779.845,5.06176,4800.0,400.0
4900000,401.342,-2526.48,10608.5,-2844.02,25.8869,-2834.86,1099.04,-5115.06,-3563.41,696.971,1995.44,1287.53,5.05877,4900.0,400.0
5000000,396.268,-1698.13,10608.5,-2843.14,25.5596,-2828.82,1896.36,-4987.3,-2003.44,2246.16,-1396.27,1028.97,5.05746,5000.0,400.0
5100000,395.783,-2184.19,10608.5,-2843.13,25.5283,-2832.07,-662.084,-4364.78,-1525.7,1958.54,80.1663,1575.4,5.06053,5100.0,400.0
5200000,403.77,-2738.34,10608.5,-2843.72,26.0435,-2835.81,-106.341,-4340.01,-3768.68,2036.36,-1007.58,1133.13,5.05753,5200.0,400.0
5300000,409.194,-1594.32,10608.5,-2842.06,26.3934,-2826.22,-13.9769,-1987.54,-2781.44,1829.47,-187.911,1493.48,5.05103,5300.0,400.0
5400000,408.361,-2117.02,10608.5,-2843.66,26.3396,-2831.34,-445.858,-4675.28,-1229.93,1958.53,-273.982,1048.31,5.05234,5400.0,400.0
5500000,404.141,-1479.49,10608.5,-2843.75,26.0674,-2827.48,1180.9,-3625.02,-1994.36,1797.99,-369.948,2459.5,5.05512,5500.0,400.0
5600000,383.385,-2455.11,10608.5,-2844.19,24.7286,-2835.72,287.948,-2691.66,-4961.63,1682.37,-212.55,1307.11,5.05641,5600.0,400.0
5700000,387.73,-2527.54,10608.5,-2844.23,25.0089,-2835.96,1202.39,-5028.9,-3756.11,2536.33,1183.95,2651.35,5.05314,5700.0,400.0
5800000,389.862,-2020.51,10608.5,-2844.9,25.1464,-2833.13,-546.242,-2826.83,-2688.47,1905.71,241.182,1345.66,5.01433,5800.0,400.0
5900000,390.12,-2275.72,10608.5,-2844.46,25.163,-2834.37,839.012,-5705.61,-1960.56,2432.5,-587.143,1440.4,5.01078,5900.0,400.0
6000000,406.297,-3236.67,10608.5,-2845.11,26.2065,-2840.33,-1056.52,-5433.92,-3219.58,890.354,-505.514,74.4951,5.01569,6000.0,400.0
6100000,385.385,-2290.82,10608.5,-2844.15,24.8577,-2834.46,-2142.37,-2836.03,-1894.05,2042.84,112.338,3297.43,5.01778,6100.0,400.0
6200000,399.746,-2174.01,10608.5,-2842.67,25.7839,-2831.28,32.7662,-3558.37,-2996.44,2340.33,-660.948,1714.91,5.02129,6200.0,400.0
6300000,415.933,-3032.74,10608.5,-2844.45,26.828,-2837.7,629.722,-5678.06,-4049.87,1729.15,70.9417,2387.35,5.01534,6300.0,400.0
6400000,408.367,-3179.31,10608.5,-2845.1,26.34,-2839.81,-761.019,-4985.93,-3790.97,3107.08,1352.64,1563.29,5.01452,6400.0,400.0
6500000,412.637,-3106.08,10608.5,-2845.49,26.6154,-2839.44,-993.587,-5235.61,-3089.03,3396.3,-273.148,3079.57,5.01336,6500.0,400.0
6600000,398.395,-1588.96,10608.5,-2843.41,25.6968,-2828.24,620.773,-2945.42,-2442.22,894.785,-765.906,2490.09,5.01304,6600.0,400.0
6700000,400.385,-1772.33,10608.5,-2844.25,25.8252,-2830.16,1554.55,-1542.49,-5329.03,1037.18,-5.09981,1898.91,5.00895,6700.0,400.0
6800000,394.186,-2148.08,10608.5,-2843.46,25.4253,-2832.26,1553.31,-3759.04,-4238.5,1868.49,-1077.21,2756.14,5.00612,6800.0,400.0
6900000,417.593,-2610.56,10608.5,-2844.76,26.9351,-2835.11,729.758,-5918.11,-2643.33,4174.21,-129.083,2322.82,5.00752,6900.0,400.0
7000000,418.26,-1592.36,10608.5,-2842.52,26.9781,-2826.08,1518.91,-2422.56,-3873.43,2940.63,108.164,2738.64,5.01003,7000.0,400.0
7100000,385.983,-2660.22,10608.5,-2843.77,24.8962,-2836.49,-839.097,-3783.34,-3358.23,1831.26,395.226,3698.37,5.00898,7100.0,400.0
7200000,397.79,-2396.6,10608.5,-2844.36,25.6578,-2834.57,-2441.26,-1698.23,-3050.32,1319.96,1951.39,1701.74,5.0119,7200.0,400.0
7300000,389.714,-2648.98,10608.5,-2842.37,25.1369,-2834.77,-2299.38,-2946.08,-2701.48,2777.4,-850.948,3529.75,5.01231,7300.0,400.0
7400000,407.117,-2436.43,10608.5,-2844.25,26.2594,-2834.12,694.168,-4542.23,-3461.22,3664.58,100.388,984.207,5.01429,7400.0,400.0
7500000,394.081,-2064.27,10608.5,-2842.62,25.4185,-2830.87,481.699,-3333.02,-3341.49,804.393,-1009.87,3668.92,5.01887,7500.0,400.0
7600000,385.444,-2524.99,10608.5,-2843.38,24.8614,-2835.24,-1021.61,-3958.28,-2595.07,737.862,75.8352,2073.75,5.02031,7600.0,400.0
7700000,437.267,-1650.25,10608.5,-2843.34,28.2041,-2826.06,1917.77,-3929.58,-2938.95,2175.29,-821.626,2423.5,5.02348,7700.0,400.0
