TimeStep,temp,pressure,vol,pe,ke,enthalpy,pxx,pyy,pzz,pxy,pxz,pyz,visc,time,hold_temp
0,1754.5,2383.49,11132.9,-2686.95,113.167,-2557.22,2306.91,1341.55,3502.0,1089.32,232.419,-785.584,0.000134957,0.0,1850.0
100000,1899.68,4101.62,11132.9,-2685.5,122.531,-2534.47,3194.41,4953.64,4156.82,-521.481,-4049.29,-4458.41,-0.00139253,100.0,1850.0
200000,1841.74,374.25,11132.9,-2693.45,118.794,-2572.06,3442.99,2434.87,-4755.11,195.024,2040.08,-190.256,0.0111414,200.0,1850.0
300000,1879.42,6745.5,11132.9,-2683.81,121.224,-2515.72,7944.43,8702.17,3589.89,-1383.3,-3437.22,-2237.87,0.0071672,300.0,1850.0
400000,1931.46,-2957.85,11132.9,-2696.27,124.58,-2592.24,781.726,-6313.49,-3341.78,2204.97,3212.26,-552.906,0.00563554,400.0,1850.0
500000,1849.51,374.685,11132.9,-2691.08,119.295,-2569.18,2716.46,531.717,-2124.12,1829.53,-3276.05,4876.7,0.00416232,500.0,1850.0
600000,1823.87,376.854,11132.9,-2694.83,117.641,-2574.57,-2202.24,779.786,2553.01,152.285,-1642.56,-2123.15,0.00396079,600.0,1850.0
700000,1949.83,1870.25,11132.9,-2687.64,125.765,-2548.88,3091.2,2038.06,481.497,1771.67,-939.4,1058.23,0.00335778,700.0,1850.0
800000,1757.58,4330.89,11132.9,-2686.85,113.366,-2543.39,3448.29,6675.15,2869.24,-2944.68,-1370.12,1751.07,0.00297866,800.0,1850.0
900000,1884.69,-1384.79,11132.9,-2691.51,121.564,-2579.57,994.132,462.101,-5610.61,1786.85,-1368.04,-721.482,0.00337109,900.0,1850.0
1000000,1880.09,1914.61,11132.9,-2696.62,121.268,-2562.05,9546.47,-2220.04,-1582.6,-2423.93,-2878.43,101.141,0.00336524,1000.0,1850.0
