composition,visc,tg,tstar
Al0Cu200Zr300,0.07477115265992873,710.2963347854786,884.3984398439844
Al35Cu225Zr240,0.07497542984866679,807.7697407215722,970.4770477047705
Al35Cu230Zr235,0.07481401740498342,833.0563883668367,962.1162116211622
Cu225Zr225Ag50,0.07490276175532706,736.0053669646965,864.8264826482648
Cu250Zr250,0.07499562013311356,725.4319150875089,893.899389938994
Ni300Nb200,0.0749154814740414,1117.8885125932595,1294.839483948395
Ni400P100,0.0749670380220043,617.2202661126114,727.0627062706271
Zr250Cu200Al50,0.07491735167498213,836.1007979477948,984.3484348434844
Zr250Cu240Ag10,0.07477384845075855,725.9079544254427,887.8187818781879
Zr300Cu150Al50,0.07478020457988072,807.6367154395438,977.3177317731773
Zr400Cu100,0.07494857195409776,795.7868816061606,936.2736273627363
