composition,diff_tcut,visc_tcut,tg
Al0Cu200Zr300,1132.6461259628454,876.9129576847182,710.2963347854786
Al35Cu225Zr240,1182.2642624889152,961.8584964648163,807.7697407215721
Al35Cu230Zr235,1180.9377583559701,957.4834817581154,833.0563883668368
Cu225Zr225Ag50,1105.289338418173,858.3200995750891,736.0053669646965
Cu250Zr250,1121.7815672855781,886.5147619469811,725.431915087509
Ni300Nb200,1579.7456355162333,1294.2013978772973,1117.8885125932593
Ni400P100,954.877524709927,721.7670624751865,618.0442721847185
Zr250Cu200Al50,1201.1532224157606,974.3239951278928,836.1007979477948
Zr250Cu240Ag10,1125.3798536859877,885.0238980350503,725.9079544254428
Zr300Cu150Al50,1215.0191384652774,973.4228971962617,807.6367154395438
Zr400Cu100,1203.901029438324,932.8730699258291,795.7868816061607
