composition,diff_tcut,visc_tcut,tg
Al0Cu200Zr300,752.2004062288423,876.9129576847182,710.2963347854786
Al35Cu225Zr240,822.7598123920021,961.8584964648163,807.7697407215721
Al35Cu230Zr235,843.8686809013419,957.4834817581154,833.0563883668368
Cu225Zr225Ag50,738.9970806695984,858.3200995750891,736.0053669646965
Cu250Zr250,763.661358689426,886.5147619469811,725.431915087509
Ni300Nb200,1091.534304896021,1294.2013978772973,1117.8885125932593
Ni400P100,591.2195121951219,721.7670624751865,618.0442721847185
Zr250Cu200Al50,840.499306518724,974.3239951278928,836.1007979477948
Zr250Cu240Ag10,752.2004062288421,885.0238980350503,725.9079544254428
Zr300Cu150Al50,837.1567314132619,973.4228971962617,807.6367154395438
Zr400Cu100,797.8137716428627,932.8730699258291,795.7868816061607
