composition,diff_tcut,visc_tcut
Al0Cu200Zr300,752.2004062288422,876.9129576847182
Al35Cu225Zr240,822.759812392002,961.8584964648165
Al35Cu230Zr235,843.8686809013418,957.4834817581154
Cu225Zr225Ag50,738.9970806695984,858.320099575089
Cu250Zr250,763.6613586894259,886.5147619469811
Ni300Nb200,1091.5343048960208,1294.2013978772975
Ni400P100,591.2195121951219,721.7670624751868
Zr250Cu200Al50,840.499306518724,974.3239951278928
Zr250Cu240Ag10,752.2004062288422,885.0238980350505
Zr300Cu150Al50,837.1567314132617,973.4228971962616
Zr400Cu100,797.8137716428628,932.8730699258292
