job,tg
viscosity_Al0Cu200Zr300_dT50K_0,702.6456256525653
viscosity_Al0Cu200Zr300_dT50K_1,726.0931101410139
viscosity_Al0Cu200Zr300_dT50K_2,747.5259537553759
viscosity_Al0Cu200Zr300_dT50K_3,706.782080888089
viscosity_Al0Cu200Zr300_dT50K_4,668.4349034903493
viscosity_Al35Cu225Zr240_dT50K_0,841.124100680068
viscosity_Al35Cu225Zr240_dT50K_2,822.7801453145321
viscosity_Al35Cu225Zr240_dT50K_3,760.098226222622
viscosity_Al35Cu225Zr240_dT50K_4,807.0764906690665
viscosity_Al35Cu230Zr235_dT50K_0,815.1308783078308
viscosity_Al35Cu230Zr235_dT50K_1,842.1229785578557
viscosity_Al35Cu230Zr235_dT50K_2,796.0652647564757
viscosity_Al35Cu230Zr235_dT50K_3,834.1996048604863
viscosity_Al35Cu230Zr235_dT50K_4,877.7632153515355
viscosity_Cu225Zr225Ag50_dT50K_0,748.1580486348637
viscosity_Cu225Zr225Ag50_dT50K_1,754.9671963996399
viscosity_Cu225Zr225Ag50_dT50K_2,651.0856661766175
viscosity_Cu225Zr225Ag50_dT50K_3,775.3036606660668
viscosity_Cu225Zr225Ag50_dT50K_4,750.5122629462945
viscosity_Cu250Zr250_dT50K_0,687.4008608360837
viscosity_Cu250Zr250_dT50K_1,701.6460627262725
viscosity_Cu250Zr250_dT50K_2,761.8039632563257
viscosity_Cu250Zr250_dT50K_3,705.6234258525856
viscosity_Cu250Zr250_dT50K_4,770.6852627662771
viscosity_Ni300Nb200_dT50K_0,1095.9323303830383
viscosity_Ni300Nb200_dT50K_1,1197.9657155315529
viscosity_Ni300Nb200_dT50K_2,1095.9323303830383
viscosity_Ni300Nb200_dT50K_3,1095.9775476047605
viscosity_Ni300Nb200_dT50K_4,1103.634639063907
viscosity_Ni400P100_dT50K_0,566.4120976897693
viscosity_Ni400P100_dT50K_1,613.9242418241826
viscosity_Ni400P100_dT50K_2,556.3315977897788
viscosity_Ni400P100_dT50K_3,700.498175437544
viscosity_Ni400P100_dT50K_4,648.9352178217819
viscosity_Zr250Cu200Al50_dT50K_0,855.7292688768878
viscosity_Zr250Cu200Al50_dT50K_1,846.1678459045908
viscosity_Zr250Cu200Al50_dT50K_2,803.1210334233425
viscosity_Zr250Cu200Al50_dT50K_3,846.2463404840483
viscosity_Zr250Cu200Al50_dT50K_4,829.239501050105
viscosity_Zr250Cu240Ag10_dT50K_0,751.9886253025305
viscosity_Zr250Cu240Ag10_dT50K_1,700.6164347934792
viscosity_Zr250Cu240Ag10_dT50K_2,746.3078597459747
viscosity_Zr250Cu240Ag10_dT50K_3,704.7188978597861
viscosity_Zr300Cu150Al50_dT50K_0,808.0061909690969
viscosity_Zr300Cu150Al50_dT50K_1,754.9271104110409
viscosity_Zr300Cu150Al50_dT50K_2,748.4164612461245
viscosity_Zr300Cu150Al50_dT50K_3,866.3961670867089
viscosity_Zr300Cu150Al50_dT50K_4,860.4376474847481
viscosity_Zr400Cu100_dT50K_0,778.4898474347438
viscosity_Zr400Cu100_dT50K_1,797.7313632063203
viscosity_Zr400Cu100_dT50K_2,806.9622225622558
viscosity_Zr400Cu100_dT50K_3,793.3297226322635
viscosity_Zr400Cu100_dT50K_4,802.42125219522
