run,temp,visc
viscosity_Al35Cu225Zr240_dT50K_0/run/step_7,1650.0,0.00374867
viscosity_Al35Cu225Zr240_dT50K_0/run/step_1,1950.0,0.00300945
viscosity_Al35Cu225Zr240_dT50K_0/run/step_29,550.0,2.45063
viscosity_Al35Cu225Zr240_dT50K_0/run/step_30,500.0,1.63288
viscosity_Al35Cu225Zr240_dT50K_0/run/step_13,1350.0,0.00603048
viscosity_Al35Cu225Zr240_dT50K_0/run/step_5,1750.0,0.00340687
viscosity_Al35Cu225Zr240_dT50K_0/run/step_11,1450.0,0.00586391
viscosity_Al35Cu225Zr240_dT50K_0/run/step_14,1300.0,0.00847003
viscosity_Al35Cu225Zr240_dT50K_0/run/step_37,150.0,8.54118
viscosity_Al35Cu225Zr240_dT50K_0/run/step_20,1000.0,0.0424896
viscosity_Al35Cu225Zr240_dT50K_0/run/step_21,950.0,0.0813328
viscosity_Al35Cu225Zr240_dT50K_0/run/step_19,1050.0,0.0268984
viscosity_Al35Cu225Zr240_dT50K_0/run/step_38,100.0,11.9573
viscosity_Al35Cu225Zr240_dT50K_0/run/step_27,650.0,1.43765
viscosity_Al35Cu225Zr240_dT50K_0/run/step_31,450.0,4.61985
viscosity_Al35Cu225Zr240_dT50K_0/run/step_28,600.0,1.11813
viscosity_Al35Cu225Zr240_dT50K_0/run/step_10,1500.0,0.00442677
viscosity_Al35Cu225Zr240_dT50K_0/run/step_23,850.0,0.614954
viscosity_Al35Cu225Zr240_dT50K_0/run/step_9,1550.0,0.00458377
viscosity_Al35Cu225Zr240_dT50K_0/run/step_34,300.0,4.49057
viscosity_Al35Cu225Zr240_dT50K_0/run/step_8,1600.0,0.00344051
viscosity_Al35Cu225Zr240_dT50K_0/run/step_12,1400.0,0.00607664
viscosity_Al35Cu225Zr240_dT50K_0/run/step_25,750.0,3.26199
viscosity_Al35Cu225Zr240_dT50K_0/run/step_32,400.0,4.52041
viscosity_Al35Cu225Zr240_dT50K_0/run/step_18,1100.0,0.0138976
viscosity_Al35Cu225Zr240_dT50K_0/run/step_16,1200.0,0.00927125
viscosity_Al35Cu225Zr240_dT50K_0/run/step_36,200.0,6.5271
viscosity_Al35Cu225Zr240_dT50K_0/run/step_35,250.0,5.48937
viscosity_Al35Cu225Zr240_dT50K_0/run/step_26,700.0,1.10617
viscosity_Al35Cu225Zr240_dT50K_0/run/step_0,2000.0,0.00228741
viscosity_Al35Cu225Zr240_dT50K_0/run/step_2,1900.0,0.00268401
viscosity_Al35Cu225Zr240_dT50K_0/run/step_15,1250.0,0.00914313
viscosity_Al35Cu225Zr240_dT50K_0/run/step_4,1800.0,0.00266602
viscosity_Al35Cu225Zr240_dT50K_0/run/step_33,350.0,4.34887
viscosity_Al35Cu225Zr240_dT50K_0/run/step_17,1150.0,0.0122551
viscosity_Al35Cu225Zr240_dT50K_0/run/step_24,800.0,0.929545
viscosity_Al35Cu225Zr240_dT50K_0/run/step_6,1700.0,0.00294499
viscosity_Al35Cu225Zr240_dT50K_0/run/step_3,1850.0,0.00296023
viscosity_Al35Cu225Zr240_dT50K_0/run/step_22,900.0,0.275917
viscosity_Ni300Nb200_dT50K_2/run/step_7,1650.0,0.0117838
viscosity_Ni300Nb200_dT50K_2/run/step_1,1950.0,0.00778839
viscosity_Ni300Nb200_dT50K_2/run/step_29,550.0,16.9205
viscosity_Ni300Nb200_dT50K_2/run/step_30,500.0,19.4136
viscosity_Ni300Nb200_dT50K_2/run/step_13,1350.0,0.0404801
viscosity_Ni300Nb200_dT50K_2/run/step_5,1750.0,0.00896721
viscosity_Ni300Nb200_dT50K_2/run/step_11,1450.0,0.0255444
viscosity_Ni300Nb200_dT50K_2/run/step_14,1300.0,0.054292
viscosity_Ni300Nb200_dT50K_2/run/step_37,150.0,78.151
viscosity_Ni300Nb200_dT50K_2/run/step_20,1000.0,2.21727
viscosity_Ni300Nb200_dT50K_2/run/step_21,950.0,6.01506
viscosity_Ni300Nb200_dT50K_2/run/step_19,1050.0,2.11798
viscosity_Ni300Nb200_dT50K_2/run/step_38,100.0,119.93
viscosity_Ni300Nb200_dT50K_2/run/step_27,650.0,13.6632
viscosity_Ni300Nb200_dT50K_2/run/step_31,450.0,22.0108
viscosity_Ni300Nb200_dT50K_2/run/step_28,600.0,15.5806
viscosity_Ni300Nb200_dT50K_2/run/step_10,1500.0,0.0204536
viscosity_Ni300Nb200_dT50K_2/run/step_23,850.0,4.3401
viscosity_Ni300Nb200_dT50K_2/run/step_9,1550.0,0.0154246
viscosity_Ni300Nb200_dT50K_2/run/step_34,300.0,36.2204
viscosity_Ni300Nb200_dT50K_2/run/step_8,1600.0,0.0147687
viscosity_Ni300Nb200_dT50K_2/run/step_12,1400.0,0.0361159
viscosity_Ni300Nb200_dT50K_2/run/step_25,750.0,8.58208
viscosity_Ni300Nb200_dT50K_2/run/step_32,400.0,25.4611
viscosity_Ni300Nb200_dT50K_2/run/step_18,1100.0,0.767626
viscosity_Ni300Nb200_dT50K_2/run/step_16,1200.0,0.279445
viscosity_Ni300Nb200_dT50K_2/run/step_36,200.0,57.4563
viscosity_Ni300Nb200_dT50K_2/run/step_35,250.0,44.2032
viscosity_Ni300Nb200_dT50K_2/run/step_26,700.0,9.18477
