TimeStep,temp,pressure,vol,pe,ke,enthalpy,pxx,pyy,pzz,pxy,pxz,pyz,visc,time,hold_temp
0,845.518,517.562,9001.19,-2428.83,54.5366,-2371.39,5696.58,66.6777,-4210.57,-637.596,3336.36,-1577.51,0.00179305,0.0,850.0
100000,900.898,-120.74,9001.19,-2432.83,58.1086,-2375.4,-1809.36,3073.74,-1626.59,-844.853,-661.104,2282.74,0.475045,100.0,850.0
200000,841.341,-1813.18,9001.19,-2430.22,54.2672,-2386.14,-3708.2,3012.93,-4744.28,456.026,205.97,1311.43,0.327536,200.0,850.0
300000,898.471,-140.63,9001.19,-2430.63,57.9521,-2373.47,1293.01,1272.01,-2986.91,-627.951,-864.601,-643.071,0.388079,300.0,850.0
400000,848.592,-1914.24,9001.19,-2431.15,54.7348,-2387.17,-4035.12,818.986,-2526.59,722.796,583.852,-324.218,0.44126,400.0,850.0
500000,876.616,188.683,9001.19,-2429.82,56.5424,-2372.22,3297.08,-7497.24,4766.2,-2487.9,-149.405,-5265.83,0.456496,500.0,850.0
600000,844.829,-4333.58,9001.19,-2432.25,54.4921,-2402.11,-5132.12,-5823.74,-2044.87,2118.59,-2350.42,-1839.92,0.410189,600.0,850.0
700000,822.391,-1078.38,9001.19,-2432.6,53.0449,-2385.62,2078.91,-3083.96,-2230.1,4400.32,360.624,-1492.15,0.437553,700.0,850.0
800000,850.825,-342.603,9001.19,-2429.74,54.8789,-2376.78,33.0868,-1492.74,431.843,-2368.68,900.428,1520.55,0.442889,800.0,850.0
900000,868.058,893.504,9001.19,-2430.69,55.9905,-2369.68,539.47,66.3749,2074.67,-2199.82,-969.137,1172.91,0.40327,900.0,850.0
1000000,879.072,3016.64,9001.19,-2426.18,56.7009,-2352.53,4952.71,2941.73,1155.49,5944.32,-2567.52,-1321.92,0.455755,1000.0,850.0
1100000,836.654,-1493.92,9001.19,-2433.37,53.9649,-2387.8,-1875.36,-1335.12,-1271.27,-827.357,998.953,1626.73,0.540156,1100.0,850.0
1200000,847.701,127.139,9001.19,-2431.14,54.6774,-2375.75,768.67,-1573.49,1186.24,-2847.95,499.928,-935.15,0.505508,1200.0,850.0
1300000,866.471,542.032,9001.19,-2427.95,55.8881,-2369.01,942.695,3954.03,-3270.63,-2881.38,-2635.33,3225.3,0.472979,1300.0,850.0
1400000,781.899,-2233.43,9001.19,-2432.68,50.4331,-2394.79,609.56,-717.062,-6592.78,2067.46,-2813.04,-3422.11,0.449711,1400.0,850.0
1500000,875.734,57.0553,9001.19,-2431.32,56.4855,-2374.51,931.175,1883.61,-2643.62,-1611.92,-366.436,845.847,0.436079,1500.0,850.0
1600000,916.744,1997.64,9001.19,-2426.67,59.1307,-2356.32,-1038.59,2008.55,5022.96,-2637.65,1966.5,-845.765,0.40514,1600.0,850.0
1700000,915.468,-611.544,9001.19,-2431.5,59.0484,-2375.88,-364.868,-2321.54,851.776,2016.85,-1303.23,1240.25,0.396189,1700.0,850.0
1800000,867.785,1045.64,9001.19,-2430.12,55.9729,-2368.27,-475.704,4026.64,-414.02,-4173.46,-2422.69,749.436,0.440866,1800.0,850.0
1900000,828.992,288.59,9001.19,-2432.27,53.4706,-2377.18,-902.168,3565.23,-1797.29,-3373.04,1960.41,4446.58,0.412159,1900.0,850.0
2000000,853.979,-1138.44,9001.19,-2434.93,55.0823,-2386.24,-2908.75,2457.39,-2963.96,-1356.19,1759.06,265.898,0.449733,2000.0,850.0
2100000,904.498,-1549.97,9001.19,-2435.92,58.3409,-2386.29,736.876,-2833.87,-2552.93,-2417.92,-88.911,-2115.14,0.440124,2100.0,850.0
2200000,916.321,1427.51,9001.19,-2429.52,59.1035,-2362.4,1815.78,1432.71,1034.05,145.011,103.432,1011.77,0.443621,2200.0,850.0
2300000,842.001,2067.19,9001.19,-2430.92,54.3098,-2365.0,987.134,2481.81,2732.63,-22.3843,193.508,3383.45,0.445768,2300.0,850.0
2400000,857.084,-106.381,9001.19,-2434.53,55.2826,-2379.85,-3007.99,3913.33,-1224.48,2006.64,-1481.03,4510.55,0.45927,2400.0,850.0
2500000,800.212,1519.5,9001.19,-2430.87,51.6143,-2370.72,3765.38,-2313.53,3106.65,-1449.3,-1114.42,-730.947,0.510338,2500.0,850.0
2600000,811.319,-970.003,9001.19,-2431.52,52.3307,-2384.64,-271.787,-128.938,-2509.28,1188.9,2269.52,1913.73,0.505828,2600.0,850.0
2700000,845.24,1186.63,9001.19,-2431.72,54.5186,-2370.53,1156.48,-496.167,2899.57,-5683.47,-3024.81,-2469.57,0.488258,2700.0,850.0
2800000,858.283,-262.259,9001.19,-2433.58,55.36,-2379.69,2479.15,168.063,-3433.99,764.474,1755.57,-2296.79,0.492667,2800.0,850.0
2900000,814.122,-1090.14,9001.19,-2434.62,52.5115,-2388.24,-494.766,2457.91,-5233.58,-1967.2,-991.818,-29.6808,0.497174,2900.0,850.0
3000000,825.877,-911.197,9001.19,-2431.9,53.2697,-2383.75,-2315.43,238.499,-656.657,-958.254,1327.71,1346.33,0.488824,3000.0,850.0
3100000,782.207,-2031.91,9001.19,-2433.81,50.453,-2394.77,-1404.87,-3327.4,-1363.45,-3328.83,-964.456,-404.924,0.493794,3100.0,850.0
3200000,869.709,332.308,9001.19,-2431.8,56.097,-2373.84,15.5622,-1967.87,2949.24,-520.715,-1727.98,1301.58,0.529063,3200.0,850.0
3300000,876.948,816.895,9001.19,-2431.48,56.5638,-2370.33,2650.23,-1089.6,890.056,-199.549,-1039.48,-3485.2,0.532673,3300.0,850.0
