TimeStep,temp,pressure,vol,pe,ke,enthalpy,pxx,pyy,pzz,pxy,pxz,pyz,visc,time,hold_temp
0,692.043,2916.48,8948.42,-2435.62,44.6373,-2374.69,2710.63,7390.31,-1351.49,-3285.75,2749.41,1846.47,0.00335868,0.0,700.0
100000,707.195,2235.57,8948.42,-2436.15,45.6146,-2378.05,687.562,4164.65,1854.51,1202.97,-2090.07,2738.25,0.223544,100.0,700.0
200000,698.008,2251.95,8948.42,-2434.01,45.0221,-2376.41,5135.5,6570.79,-4950.45,-963.076,-2052.7,1136.31,0.162547,200.0,700.0
300000,674.517,1206.56,8948.42,-2438.04,43.5069,-2387.79,195.947,388.253,3035.48,905.235,515.829,-3192.61,0.262929,300.0,700.0
400000,684.318,2764.49,8948.42,-2435.43,44.1391,-2375.85,-2938.32,7882.63,3349.18,-1433.21,3958.47,-2514.79,0.494454,400.0,700.0
500000,702.221,5031.87,8948.42,-2433.96,45.2938,-2360.56,4066.91,6359.2,4669.5,-32.0451,314.322,-974.334,0.449497,500.0,700.0
600000,710.678,3468.27,8948.42,-2433.13,45.8393,-2367.92,1150.26,5398.95,3855.61,2157.49,-471.745,1156.78,0.392909,600.0,700.0
700000,694.418,2100.27,8948.42,-2436.95,44.7905,-2380.43,2989.45,955.324,2356.04,409.711,2292.98,1272.86,0.347544,700.0,700.0
800000,655.372,3830.35,8948.42,-2433.97,42.2721,-2370.3,3890.08,3665.33,3935.62,-2054.63,-896.322,361.68,0.308366,800.0,700.0
900000,741.493,3689.32,8948.42,-2436.92,47.8269,-2368.49,-621.588,8128.9,3560.66,1461.65,708.944,2266.75,0.284082,900.0,700.0
1000000,726.316,1378.3,8948.42,-2436.56,46.8479,-2382.02,930.334,237.44,2967.11,103.601,1956.83,3807.82,0.297093,1000.0,700.0
1100000,734.379,4674.01,8948.42,-2434.6,47.368,-2361.13,1668.1,6258.73,6095.2,950.685,1863.01,3092.66,0.302285,1100.0,700.0
1200000,753.309,3689.81,8948.42,-2435.2,48.589,-2366.0,2317.59,5296.57,3455.27,436.902,637.026,1053.4,0.314348,1200.0,700.0
1300000,741.748,4861.51,8948.42,-2434.19,47.8434,-2359.19,2111.88,2736.86,9735.79,2867.72,1002.1,2191.47,0.334023,1300.0,700.0
1400000,725.995,2151.9,8948.42,-2436.16,46.8272,-2377.31,484.39,3927.3,2044.01,2238.9,493.768,730.005,0.349157,1400.0,700.0
1500000,663.455,701.214,8948.42,-2437.35,42.7934,-2390.64,-2348.83,1055.85,3396.62,1273.23,-145.265,1905.81,0.358957,1500.0,700.0
