TimeStep,temp,pressure,vol,pe,ke,enthalpy,pxx,pyy,pzz,pxy,pxz,pyz,visc,time,hold_temp
0,1671.5,2887.53,9340.33,-2347.53,107.813,-2222.89,7399.65,1072.46,190.468,122.742,-1793.8,-698.671,0.000270675,0.0,1550.0
100000,1469.97,-702.695,9340.33,-2348.22,94.8144,-2257.5,1653.0,-4027.93,266.851,1281.97,-243.888,738.786,-0.00508631,100.0,1550.0
200000,1582.26,6473.55,9340.33,-2334.1,102.057,-2194.31,1834.29,7368.89,10217.5,-992.588,-172.348,2431.96,-4.01777e-05,200.0,1550.0
300000,1544.1,1179.9,9340.33,-2344.83,99.5957,-2238.36,-770.612,135.967,4174.35,2504.27,336.026,-1470.43,0.00269771,300.0,1550.0
400000,1636.39,1884.06,9340.33,-2348.92,105.549,-2232.39,1555.98,5783.07,-1686.86,473.249,402.766,-2347.15,0.00166481,400.0,1550.0
500000,1645.57,2858.63,9340.33,-2340.9,106.141,-2218.1,5724.54,166.935,2684.43,479.873,-1210.57,-1875.31,0.00211463,500.0,1550.0
600000,1579.56,2000.55,9340.33,-2341.97,101.883,-2228.42,3681.98,4872.3,-2552.63,-5947.22,4533.99,123.369,0.0014581,600.0,1550.0
700000,1562.87,7656.65,9340.33,-2337.07,100.806,-2191.62,11955.4,3119.57,7894.94,2643.14,716.326,-2693.14,0.00283157,700.0,1550.0
800000,1542.54,3872.14,9340.33,-2344.75,99.4953,-2222.68,4990.53,5444.7,1181.2,1220.73,-1702.08,-1377.41,0.00333227,800.0,1550.0
900000,1586.9,3811.88,9340.33,-2340.8,102.356,-2216.22,2495.62,3807.2,5132.83,-2722.26,-567.027,-631.709,0.00291613,900.0,1550.0
1000000,1494.96,-505.841,9340.33,-2347.79,96.4258,-2254.31,4648.95,4911.04,-11077.5,-378.607,-3604.51,-3643.5,0.00276083,1000.0,1550.0
1100000,1487.17,3035.45,9340.33,-2342.45,95.9234,-2228.83,4150.73,5747.14,-791.526,3692.95,1377.07,2123.4,0.00409277,1100.0,1550.0
1200000,1613.25,5403.17,9340.33,-2344.35,104.056,-2208.8,3476.27,4722.26,8010.97,-1832.46,1023.35,598.912,0.00382709,1200.0,1550.0
1300000,1558.35,1121.87,9340.33,-2342.83,100.515,-2235.77,422.308,4879.28,-1935.98,5287.84,3196.74,1075.1,0.0035244,1300.0,1550.0
1400000,1656.6,6920.27,9340.33,-2338.74,106.852,-2191.54,10228.4,-692.119,11224.5,-2033.54,2044.04,-48.924,0.0040067,1400.0,1550.0
1500000,1492.43,1821.5,9340.33,-2343.88,96.2628,-2236.99,1446.61,-5277.66,9295.56,1257.72,5840.86,5356.9,0.00397589,1500.0,1550.0
1600000,1603.64,-1415.91,9340.33,-2348.22,103.436,-2253.03,-756.314,-6156.16,2664.75,-458.916,3281.04,-4449.33,0.00392922,1600.0,1550.0
