TimeStep,temp,pressure,vol,pe,ke,enthalpy,pxx,pyy,pzz,pxy,pxz,pyz,visc,time,hold_temp
0,1726.41,-819.905,9495.17,-2314.92,111.355,-2208.42,760.554,-4275.47,1055.2,-3226.48,-635.823,2869.22,0.00128423,0.0,1700.0
100000,1666.98,-1216.63,9495.17,-2328.59,107.521,-2228.28,-491.741,-1271.79,-1886.35,-356.492,3216.78,4681.79,0.00297835,100.0,1700.0
200000,1644.99,-662.764,9495.17,-2317.43,106.103,-2215.25,533.42,78.4538,-2600.17,3461.08,4736.5,-2069.48,-0.00121083,200.0,1700.0
300000,1641.89,-7877.99,9495.17,-2335.37,105.903,-2276.16,-3274.77,-9241.91,-11117.3,40.0763,-2643.92,-3801.74,0.000775088,300.0,1700.0
400000,1754.28,-1391.42,9495.17,-2320.3,113.153,-2215.39,1914.67,-4750.25,-1338.68,-2077.45,1804.98,-2816.28,0.000869377,400.0,1700.0
500000,1727.9,-264.781,9495.17,-2322.05,111.451,-2212.17,2294.54,7.47322,-3096.36,1530.7,-3062.67,-696.907,0.00174379,500.0,1700.0
600000,1743.22,-744.818,9495.17,-2325.19,112.439,-2217.16,79.12,-3599.64,1286.07,-562.327,-209.984,5495.07,0.00243436,600.0,1700.0
700000,1731.58,1621.92,9495.17,-2321.68,111.688,-2200.38,1531.69,-2402.13,5736.2,1731.08,-1527.92,777.246,0.00250034,700.0,1700.0
800000,1720.25,-2827.92,9495.17,-2326.9,110.958,-2232.7,801.556,-5795.59,-3489.73,-5085.42,740.043,995.477,0.00242794,800.0,1700.0
900000,1715.06,-3457.66,9495.17,-2321.71,110.623,-2231.58,-6903.45,207.753,-3677.28,-2489.46,3693.61,368.349,0.00212687,900.0,1700.0
1000000,1663.47,187.068,9495.17,-2321.84,107.295,-2213.43,651.776,4385.41,-4475.98,2883.19,3800.72,1732.65,0.00213041,1000.0,1700.0
1100000,1590.86,393.863,9495.17,-2320.74,102.612,-2215.79,-2654.93,-142.448,3978.97,-1189.4,2787.66,-1492.62,0.0023435,1100.0,1700.0
1200000,1816.97,-2462.74,9495.17,-2326.08,117.196,-2223.48,1450.44,-6558.3,-2280.35,805.949,968.912,-7416.49,0.00236019,1200.0,1700.0
1300000,1662.71,-4320.4,9495.17,-2327.08,107.246,-2245.43,-2287.31,-4647.98,-6025.92,-3566.38,-3733.72,429.225,0.00247661,1300.0,1700.0
1400000,1627.65,-2825.6,9495.17,-2325.88,104.985,-2237.64,-4454.36,-557.417,-3465.03,1622.08,-2624.71,-2080.91,0.00278406,1400.0,1700.0
1500000,1798.53,-2492.96,9495.17,-2329.67,116.007,-2228.44,3708.4,-5025.43,-6161.84,1256.25,-2842.61,108.434,0.00263439,1500.0,1700.0
1600000,1677.97,2542.84,9495.17,-2314.81,108.23,-2191.51,3808.6,4463.61,-643.68,-1631.68,-4043.68,386.051,0.00241467,1600.0,1700.0
1700000,1723.99,-2663.67,9495.17,-2330.66,111.199,-2235.25,-593.915,-3506.22,-3890.89,1112.09,-568.945,272.403,0.00227974,1700.0,1700.0
1800000,1727.94,-6645.26,9495.17,-2329.84,111.454,-2257.77,-11452.0,-1198.72,-7285.08,-3889.24,928.591,407.05,0.00260387,1800.0,1700.0
1900000,1635.27,-5111.96,9495.17,-2324.64,105.476,-2249.46,-4496.38,-4629.2,-6210.3,-1879.76,-2104.85,-3815.14,0.00253248,1900.0,1700.0
2000000,1746.97,-3076.23,9495.17,-2328.46,112.681,-2234.01,-4698.62,-334.81,-4195.25,2224.08,746.055,489.839,0.00249116,2000.0,1700.0
2100000,1756.43,-4818.6,9495.17,-2323.12,113.291,-2238.38,1834.12,-7295.78,-8994.13,-1226.86,-4505.98,-4977.49,0.00249955,2100.0,1700.0
2200000,1652.7,1063.59,9495.17,-2315.31,106.601,-2202.4,5405.17,-395.11,-1819.3,-1980.4,-2671.97,3414.65,0.00254141,2200.0,1700.0
2300000,1598.28,-4460.1,9495.17,-2324.53,103.09,-2247.87,-6001.65,-4084.75,-3293.89,-2219.69,-201.54,679.305,0.0025067,2300.0,1700.0
2400000,1730.41,-762.604,9495.17,-2317.91,111.613,-2210.81,-4859.61,-1589.22,4161.01,-1193.48,1063.31,-2546.82,0.00252858,2400.0,1700.0
2500000,1646.04,-4408.62,9495.17,-2324.63,106.171,-2244.58,-8051.63,-2884.16,-2290.06,2543.78,2437.83,515.748,0.00248038,2500.0,1700.0
2600000,1821.49,193.664,9495.17,-2320.37,117.487,-2201.73,-4345.81,94.6463,4832.15,285.221,-3342.06,-2089.0,0.00247459,2600.0,1700.0
2700000,1793.25,51.7798,9495.17,-2320.21,115.666,-2204.24,1005.32,-150.386,-699.591,1554.26,1871.09,-2875.48,0.00273556,2700.0,1700.0
2800000,1687.78,-4947.17,9495.17,-2326.2,108.863,-2246.66,-3816.66,-8085.38,-2939.48,5684.54,-5546.38,928.783,0.00299744,2800.0,1700.0
2900000,1657.4,-3830.85,9495.17,-2322.5,106.903,-2238.3,-4478.24,-6202.49,-811.819,1512.44,2715.37,-484.866,0.00307054,2900.0,1700.0
3000000,1711.09,-992.823,9495.17,-2322.81,110.366,-2218.32,3779.21,-4912.04,-1845.64,1741.71,2155.12,2637.28,0.0028772,3000.0,1700.0
3100000,1717.33,-1606.66,9495.17,-2324.48,110.769,-2223.23,-108.44,130.434,-4841.97,513.35,-604.713,3483.57,0.00288114,3100.0,1700.0
3200000,1742.42,-1520.67,9495.17,-2322.93,112.388,-2219.55,800.498,-721.633,-4640.88,-5026.45,2078.98,570.413,0.00290543,3200.0,1700.0
3300000,1711.71,-5170.8,9495.17,-2325.63,110.407,-2245.87,-2253.54,-9989.6,-3269.25,290.304,-79.0804,863.362,0.00299326,3300.0,1700.0
3400000,1687.03,-3380.41,9495.17,-2327.2,108.815,-2238.42,-6092.71,-2448.8,-1599.73,1899.94,-3210.61,-3651.46,0.0029636,3400.0,1700.0
3500000,1690.86,835.18,9495.17,-2318.48,109.062,-2204.47,2088.5,-343.877,760.919,-5352.64,-3257.22,-1419.98,0.00301688,3500.0,1700.0
3600000,1643.71,-4001.99,9495.17,-2325.36,106.02,-2243.05,-6429.41,-494.552,-5082.02,-5126.74,2866.5,-1821.58,0.00296091,3600.0,1700.0
3700000,1717.12,-3034.98,9495.17,-2325.0,110.756,-2232.24,-7306.48,-1585.15,-213.298,1422.56,-146.288,524.889,0.00286105,3700.0,1700.0
3800000,1651.39,-2706.04,9495.17,-2327.53,106.516,-2237.05,-2510.5,601.166,-6208.78,-546.636,3395.28,-618.805,0.00274393,3800.0,1700.0
3900000,1700.29,-2627.33,9495.17,-2319.38,109.67,-2225.29,-572.531,-2873.7,-4435.76,5114.25,1084.32,4517.22,0.0027955,3900.0,1700.0
4000000,1588.07,-3041.37,9495.17,-2322.64,102.432,-2238.24,-1861.64,-4655.89,-2606.59,-1972.54,502.785,-170.511,0.00288482,4000.0,1700.0
4100000,1629.23,-3775.18,9495.17,-2325.39,105.087,-2242.67,-4421.36,-2447.99,-4456.18,849.942,2504.88,70.8126,0.00282629,4100.0,1700.0
4200000,1679.86,-5766.35,9495.17,-2331.01,108.353,-2256.83,-9096.55,-4779.2,-3423.29,-2642.06,926.626,-3773.17,0.00281704,4200.0,1700.0
4300000,1710.86,1448.32,9495.17,-2314.62,110.352,-2195.68,4088.79,5287.95,-5031.79,-1559.35,3624.8,-3954.65,0.00287582,4300.0,1700.0
4400000,1680.85,-4810.92,9495.17,-2330.16,108.416,-2250.26,-7708.99,-1553.92,-5169.86,3787.12,-1871.61,-3532.59,0.00280718,4400.0,1700.0
4500000,1482.83,-4170.99,9495.17,-2322.72,95.6436,-2251.79,-2590.81,-4790.7,-5131.46,-1618.42,5617.45,-3737.08,0.00278686,4500.0,1700.0
4600000,1755.68,-1189.36,9495.17,-2321.06,113.243,-2214.86,-564.381,-6611.94,3608.24,1745.58,-350.015,512.548,0.00276182,4600.0,1700.0
4700000,1592.46,-2698.03,9495.17,-2323.17,102.715,-2236.45,-12688.7,6543.82,-1949.17,-3192.72,3004.86,-968.543,0.00274954,4700.0,1700.0
4800000,1665.87,-5443.23,9495.17,-2333.13,107.45,-2257.94,-6246.97,-6729.99,-3352.75,-2779.43,-2600.04,3877.77,0.00272699,4800.0,1700.0
4900000,1880.76,-3781.82,9495.17,-2329.52,121.311,-2230.63,-5741.39,-769.663,-4834.41,-1659.98,395.277,2741.79,0.00275599,4900.0,1700.0
5000000,1722.78,-1169.49,9495.17,-2324.6,111.121,-2220.41,-2027.91,3510.18,-4990.74,4271.57,-1707.51,-231.684,0.00269015,5000.0,1700.0
5100000,1725.98,-3994.11,9495.17,-2329.23,111.327,-2241.57,-3585.48,-5970.3,-2426.56,-723.772,999.766,336.378,0.00266538,5100.0,1700.0
5200000,1673.78,-247.935,9495.17,-2316.66,107.96,-2210.17,1094.17,3149.66,-4987.63,3879.01,-3765.24,-1291.11,0.00276431,5200.0,1700.0
5300000,1633.67,-528.532,9495.17,-2321.71,105.373,-2219.47,1545.86,4816.86,-7948.31,-1673.53,-573.618,-1883.04,0.00278391,5300.0,1700.0
5400000,1629.19,1001.25,9495.17,-2313.6,105.084,-2202.58,-2948.21,8087.66,-2135.71,853.081,309.834,5293.65,0.00276821,5400.0,1700.0
5500000,1657.77,2884.01,9495.17,-2315.61,106.927,-2191.59,4955.18,-824.559,4521.4,-2714.44,-1593.92,1899.91,0.00272466,5500.0,1700.0
5600000,1701.25,-3878.09,9495.17,-2328.99,109.732,-2242.24,-1850.56,-5973.26,-3810.44,139.942,1418.95,2982.65,0.00270312,5600.0,1700.0
5700000,1656.2,-3656.69,9495.17,-2328.39,106.826,-2243.24,525.737,-8246.85,-3248.95,-2129.2,2195.99,535.602,0.00271033,5700.0,1700.0
5800000,1712.74,-2238.35,9495.17,-2322.73,110.473,-2225.52,-1672.48,-2079.68,-2962.89,-5229.31,-2460.71,-350.468,0.00274866,5800.0,1700.0
5900000,1681.89,-3687.86,9495.17,-2321.86,108.483,-2235.23,-5438.82,3601.32,-9226.08,1163.86,-4741.23,38.1811,0.0027039,5900.0,1700.0
6000000,1730.64,-1574.17,9495.17,-2324.81,111.628,-2222.52,-3069.63,-1587.46,-65.4314,-3105.69,-978.439,-2000.31,0.00263445,6000.0,1700.0
6100000,1666.65,-1743.04,9495.17,-2320.33,107.5,-2223.16,-5916.06,505.186,181.768,-267.647,-1238.7,-1326.78,0.00272236,6100.0,1700.0
6200000,1601.25,-4982.0,9495.17,-2324.06,103.282,-2250.31,-3590.26,-6016.92,-5338.81,290.903,1828.84,6391.82,0.00273522,6200.0,1700.0
6300000,1727.93,-4794.3,9495.17,-2328.66,111.453,-2245.62,-4054.52,-6174.31,-4154.06,3718.42,-2345.24,1000.08,0.00274485,6300.0,1700.0
6400000,1750.46,-1657.93,9495.17,-2322.64,112.906,-2219.56,-6791.63,578.903,1238.95,1894.23,2421.81,786.682,0.00274185,6400.0,1700.0
6500000,1588.42,-3286.33,9495.17,-2325.64,102.454,-2242.66,-3352.16,-3574.35,-2932.47,-2881.84,-401.502,-1327.32,0.00273592,6500.0,1700.0
6600000,1619.81,-2589.55,9495.17,-2320.59,104.479,-2231.46,-827.118,-6401.94,-539.593,-543.618,2398.17,5598.28,0.00270493,6600.0,1700.0
6700000,1801.6,1468.38,9495.17,-2321.54,116.204,-2196.63,757.046,2935.26,712.84,1914.68,-1077.81,2153.05,0.0026743,6700.0,1700.0
6800000,1566.16,-2496.88,9495.17,-2326.42,101.019,-2240.2,-5021.59,1411.13,-3880.17,-2461.35,621.943,255.159,0.00274432,6800.0,1700.0
6900000,1786.64,-581.33,9495.17,-2329.77,115.24,-2217.98,-1780.11,-947.009,983.13,-6392.01,-1026.22,3441.03,0.00290681,6900.0,1700.0
7000000,1606.26,-7450.6,9495.17,-2326.83,103.605,-2267.38,-5109.88,-5062.35,-12179.6,-494.804,-3652.32,-2917.71,0.00287764,7000.0,1700.0
7100000,1605.63,-1266.98,9495.17,-2318.29,103.564,-2222.23,1145.5,2847.87,-7794.31,7837.0,-2642.5,-4037.95,0.00288214,7100.0,1700.0
7200000,1622.4,-2774.01,9495.17,-2318.84,104.646,-2230.64,-679.001,-3523.61,-4119.41,1401.06,-4821.18,4354.87,0.00297503,7200.0,1700.0
7300000,1662.34,-227.062,9495.17,-2319.19,107.222,-2213.31,959.537,-1437.14,-203.583,247.258,-5149.06,1803.41,0.00302325,7300.0,1700.0
7400000,1795.59,-3125.9,9495.17,-2324.79,115.817,-2227.5,-1416.53,130.488,-8091.66,-1909.63,-3700.65,2248.62,0.00301872,7400.0,1700.0
7500000,1622.07,-2525.73,9495.17,-2323.37,104.625,-2233.71,-6024.81,-3246.62,1694.23,-453.473,2363.36,-1081.77,0.00303733,7500.0,1700.0
7600000,1673.33,-2841.08,9495.17,-2322.49,107.931,-2231.39,-1195.84,-2758.17,-4569.22,-1492.35,760.514,359.996,0.00308138,7600.0,1700.0
7700000,1784.82,-517.285,9495.17,-2326.73,115.123,-2214.67,-12.7813,394.839,-1933.91,-1061.32,-2736.55,3878.57,0.0030934,7700.0,1700.0
7800000,1588.16,-1983.27,9495.17,-2321.4,102.438,-2230.72,-5429.08,153.623,-674.358,-269.588,202.038,-634.064,0.0031203,7800.0,1700.0
7900000,1732.26,-6554.27,9495.17,-2329.87,111.732,-2256.98,-6690.69,-6454.59,-6517.54,-1107.44,1963.91,1649.9,0.00309497,7900.0,1700.0
8000000,1713.33,1109.1,9495.17,-2319.36,110.511,-2202.27,-1409.34,-4265.47,9002.12,-933.877,2611.99,1277.32,0.00309745,8000.0,1700.0
8100000,1945.07,860.449,9495.17,-2324.72,125.459,-2194.16,1137.39,920.047,523.907,-1924.3,3383.35,1523.34,0.00309552,8100.0,1700.0
8200000,1770.82,-2722.97,9495.17,-2330.21,114.219,-2232.13,-3216.73,-938.116,-4014.06,2667.3,-3034.49,-2275.3,0.00307212,8200.0,1700.0
8300000,1624.49,-3105.21,9495.17,-2323.86,104.781,-2237.48,-2153.83,-2533.62,-4628.18,-1638.31,4677.64,487.258,0.00305126,8300.0,1700.0
8400000,1768.11,-7686.14,9495.17,-2334.18,114.045,-2265.69,-5565.57,-9543.65,-7949.21,-3879.85,-3117.06,-4084.11,0.00308735,8400.0,1700.0
8500000,1899.0,1300.48,9495.17,-2325.8,122.487,-2195.6,548.811,117.759,3234.86,3929.93,2560.15,-2171.33,0.0031699,8500.0,1700.0
8600000,1710.92,-3961.78,9495.17,-2331.27,110.355,-2244.39,-5966.67,-9113.99,3195.31,-241.989,-3572.68,2251.0,0.00313323,8600.0,1700.0
8700000,1652.18,-9572.5,9495.17,-2330.8,106.567,-2280.96,-13660.4,-5489.43,-9567.72,-2942.27,240.836,-3093.45,0.00318315,8700.0,1700.0
8800000,1769.68,928.895,9495.17,-2320.76,114.146,-2201.11,6802.62,-4168.07,152.134,-1341.62,2829.91,2890.17,0.00322295,8800.0,1700.0
8900000,1781.9,-3461.23,9495.17,-2321.14,114.934,-2226.72,-3834.61,-3134.66,-3414.41,1855.95,1121.21,2922.05,0.00321088,8900.0,1700.0
9000000,1796.23,-3719.19,9495.17,-2325.57,115.858,-2231.75,-554.058,-5300.89,-5302.63,-1357.83,-104.929,-1573.88,0.0031589,9000.0,1700.0
9100000,1637.34,-5473.23,9495.17,-2328.51,105.61,-2255.34,-7983.25,-4265.16,-4171.29,-5214.77,-1559.0,-3294.39,0.0031258,9100.0,1700.0
9200000,1772.97,595.061,9495.17,-2321.04,114.358,-2203.15,622.443,1364.24,-201.497,1967.98,976.973,-391.624,0.00312359,9200.0,1700.0
9300000,1670.14,-3444.0,9495.17,-2326.3,107.725,-2238.99,-6588.52,-3669.3,-74.1667,30.657,751.846,5586.39,0.00311216,9300.0,1700.0
9400000,1606.26,-2889.26,9495.17,-2320.98,103.605,-2234.5,-5.44072,-1298.14,-7364.2,569.54,-253.736,-4093.85,0.00307718,9400.0,1700.0
9500000,1782.23,-1513.15,9495.17,-2320.49,114.955,-2214.5,-4265.87,-4991.46,4717.87,4034.04,-2606.12,526.946,0.00307789,9500.0,1700.0
9600000,1704.27,-1758.6,9495.17,-2318.6,109.927,-2219.1,-1813.35,334.488,-3796.93,2598.36,-1100.48,7831.36,0.00310121,9600.0,1700.0
9700000,1604.1,-1555.35,9495.17,-2323.53,103.466,-2229.28,-461.041,2973.44,-7178.43,-736.847,-3918.53,-533.347,0.00311576,9700.0,1700.0
9800000,1735.48,-7551.88,9495.17,-2329.06,111.94,-2261.88,-2576.47,-12856.2,-7222.93,-2415.7,-1049.03,-6293.84,0.00313283,9800.0,1700.0
9900000,1675.16,-4099.89,9495.17,-2325.72,108.049,-2241.96,-7399.14,-3982.15,-918.38,-1510.96,2721.53,-2791.88,0.00324876,9900.0,1700.0
10000000,1710.89,472.988,9495.17,-2322.74,110.354,-2209.58,7517.84,-1750.61,-4348.26,1542.39,-3804.66,-1014.88,0.00322881,10000.0,1700.0
