TimeStep,temp,pressure,vol,pe,ke,enthalpy,pxx,pyy,pzz,pxy,pxz,pyz,visc,time,hold_temp
0,1612.25,-2060.41,7343.69,-2711.06,103.992,-2616.51,-9822.93,-992.076,4633.77,4906.24,3972.68,3015.87,0.00262989,0.0,1650.0
100000,1576.04,3137.29,7343.69,-2712.36,101.656,-2596.32,2767.68,2937.28,3706.91,-1618.12,6287.13,1463.99,0.0112206,100.0,1650.0
200000,1641.48,3861.76,7343.69,-2714.67,105.877,-2591.09,5270.71,-3761.79,10076.4,5477.07,779.823,-4721.79,0.00778993,200.0,1650.0
300000,1644.01,-2096.04,7343.69,-2716.44,106.04,-2620.01,2547.22,-832.411,-8002.93,6782.06,-1069.13,1484.69,0.00676022,300.0,1650.0
400000,1616.99,1879.62,7343.69,-2708.07,104.297,-2595.16,1677.31,10375.2,-6413.65,8069.61,781.409,2731.38,0.00638624,400.0,1650.0
500000,1618.51,910.168,7343.69,-2712.25,104.395,-2603.68,1528.99,857.986,343.528,1655.85,-6034.55,1872.65,0.00592954,500.0,1650.0
600000,1608.24,-4478.33,7343.69,-2722.24,103.733,-2639.03,-10607.9,-4839.85,2012.72,-5257.82,8186.81,-2787.14,0.00541179,600.0,1650.0
700000,1680.85,3810.41,7343.69,-2711.0,108.416,-2585.12,5596.89,642.941,5191.4,-5535.34,692.716,1341.61,0.00607183,700.0,1650.0
800000,1708.53,-1361.3,7343.69,-2717.41,110.202,-2613.44,-5733.86,-9160.21,10810.2,1588.83,3556.22,13201.9,0.00511357,800.0,1650.0
900000,1739.62,4862.13,7343.69,-2714.16,112.207,-2579.67,-639.728,6967.49,8258.61,-2251.04,617.414,1442.05,0.0071969,900.0,1650.0
1000000,1669.17,1338.85,7343.69,-2715.42,107.663,-2601.62,3147.87,160.074,708.611,1579.88,425.62,787.46,0.00769398,1000.0,1650.0
1100000,1636.6,-626.218,7343.69,-2714.11,105.562,-2611.42,-4267.87,7626.95,-5237.74,-2496.72,-2885.0,-8164.3,0.0105723,1100.0,1650.0
1200000,1492.46,1698.18,7343.69,-2716.18,96.2649,-2612.13,6008.74,-1742.17,827.962,-4754.8,924.706,4790.18,0.0106866,1200.0,1650.0
1300000,1719.5,254.623,7343.69,-2711.78,110.909,-2599.7,1394.86,-1878.05,1247.06,-1068.54,1563.37,3921.38,0.00948185,1300.0,1650.0
1400000,1701.45,-2345.35,7343.69,-2710.81,109.745,-2611.82,-3481.22,-5936.86,2382.02,208.03,4189.91,2049.37,0.00886564,1400.0,1650.0
1500000,1602.26,-362.296,7343.69,-2715.76,103.347,-2614.08,-5189.81,4941.7,-838.779,-5351.14,407.307,-6297.46,0.0101297,1500.0,1650.0
1600000,1774.28,1180.66,7343.69,-2711.88,114.442,-2592.02,4899.24,-3209.23,1851.97,-2493.01,494.347,-6673.25,0.0101357,1600.0,1650.0
1700000,1751.71,-1424.39,7343.69,-2713.34,112.987,-2606.88,-1636.94,-3226.91,590.687,-877.924,-942.447,1293.53,0.00912869,1700.0,1650.0
1800000,1629.96,-3266.34,7343.69,-2719.64,105.134,-2629.48,-5952.51,-2611.03,-1235.47,3124.2,433.575,-382.931,0.00925491,1800.0,1650.0
1900000,1660.48,2261.35,7343.69,-2710.65,107.102,-2593.18,1411.15,1946.79,3426.13,-1656.49,2011.6,26.0946,0.00883407,1900.0,1650.0
2000000,1656.03,1996.54,7343.69,-2718.73,106.815,-2602.76,4511.14,720.199,758.281,4075.06,1405.2,5536.3,0.00832385,2000.0,1650.0
2100000,1585.48,-3019.09,7343.69,-2717.53,102.265,-2629.1,1683.25,-5210.32,-5530.21,579.192,5465.97,-7047.89,0.00883494,2100.0,1650.0
2200000,1701.02,-209.654,7343.69,-2719.06,109.717,-2610.3,4816.69,-6749.44,1303.79,-4230.51,1979.75,4935.68,0.00854811,2200.0,1650.0
2300000,1594.29,-4547.93,7343.69,-2719.82,102.833,-2637.83,4462.7,-5685.99,-12420.5,-563.762,-3547.25,-1692.52,0.00840695,2300.0,1650.0
2400000,1687.61,-5188.66,7343.69,-2721.39,108.852,-2636.32,-4810.7,2771.71,-13527.0,2029.41,-3344.66,-3565.47,0.00853933,2400.0,1650.0
2500000,1708.55,2078.76,7343.69,-2713.58,110.203,-2593.85,4318.24,-1643.7,3561.74,-262.071,2135.57,64.862,0.00853357,2500.0,1650.0
2600000,1615.08,-4053.18,7343.69,-2718.1,104.174,-2632.5,-8359.7,-1572.98,-2226.86,4882.99,2988.23,-321.341,0.00889864,2600.0,1650.0
2700000,1750.5,-4745.56,7343.69,-2722.57,112.909,-2631.42,-3324.05,-9762.86,-1149.76,3036.52,2561.55,-4925.96,0.00918947,2700.0,1650.0
2800000,1624.86,-4973.76,7343.69,-2716.36,104.805,-2634.36,-8121.49,-5104.91,-1694.87,-1168.06,2513.02,-2067.45,0.00899831,2800.0,1650.0
2900000,1720.3,242.655,7343.69,-2714.37,110.961,-2602.3,3137.14,1055.38,-3464.55,954.82,-2743.46,-964.705,0.00842016,2900.0,1650.0
3000000,1642.92,1703.8,7343.69,-2709.68,105.969,-2595.9,-4392.94,5613.86,3890.49,-808.511,2772.1,3330.51,0.00809978,3000.0,1650.0
3100000,1736.58,-4230.12,7343.69,-2720.63,112.011,-2628.01,-3838.46,-4308.89,-4543.02,2128.67,-5836.22,-3346.15,0.00827369,3100.0,1650.0
3200000,1678.87,1988.76,7343.69,-2709.25,108.289,-2591.85,185.804,4975.98,804.508,-1844.36,2985.19,-5981.73,0.0085391,3200.0,1650.0
3300000,1584.61,-939.949,7343.69,-2715.68,102.208,-2617.78,-966.433,-5360.59,3507.17,4704.58,2396.19,-1793.56,0.00880114,3300.0,1650.0
3400000,1665.71,-340.855,7343.69,-2721.88,107.439,-2616.0,451.453,-2411.99,937.969,-1827.08,-4551.48,-495.939,0.00880212,3400.0,1650.0
3500000,1686.06,-1370.47,7343.69,-2713.4,108.752,-2610.93,-1369.11,4051.71,-6794.0,-5405.84,1278.84,-1287.54,0.00922634,3500.0,1650.0
3600000,1630.65,-4074.03,7343.69,-2715.58,105.178,-2629.08,-8478.8,-2628.83,-1114.47,1458.77,-4499.04,1510.98,0.00940808,3600.0,1650.0
3700000,1722.9,-1732.63,7343.69,-2717.96,111.129,-2614.77,1212.37,878.072,-7288.33,4805.96,3495.06,3723.36,0.00907848,3700.0,1650.0
3800000,1650.3,410.148,7343.69,-2710.36,106.446,-2602.03,2956.47,5124.74,-6850.77,1058.3,-7143.55,-8473.39,0.00882022,3800.0,1650.0
3900000,1691.39,4331.44,7343.69,-2703.84,109.096,-2574.89,10408.3,-2702.82,5288.79,2174.93,-3461.51,-3485.04,0.00857559,3900.0,1650.0
4000000,1707.34,-4480.95,7343.69,-2717.9,110.125,-2628.32,-1254.27,-5687.89,-6500.67,-3090.92,-3453.34,3989.0,0.00848179,4000.0,1650.0
4100000,1626.32,-1477.57,7343.69,-2717.85,104.899,-2619.72,-4314.52,4951.13,-5069.32,4665.25,-4864.33,-5102.92,0.00897011,4100.0,1650.0
4200000,1681.29,-980.438,7343.69,-2715.37,108.445,-2611.42,6556.78,-4202.6,-5295.49,1300.14,-3873.77,-6077.93,0.0089138,4200.0,1650.0
4300000,1707.42,-1144.93,7343.69,-2719.34,110.13,-2614.46,-8368.49,9591.96,-4658.25,9656.54,4717.37,-2623.18,0.00919199,4300.0,1650.0
4400000,1729.5,-4819.38,7343.69,-2721.42,111.554,-2631.96,-10621.6,-4422.15,585.613,6569.14,6914.12,-8330.35,0.00910721,4400.0,1650.0
4500000,1654.16,332.137,7343.69,-2713.15,106.694,-2604.93,-2365.71,2065.44,1296.69,-8034.7,189.339,-3072.68,0.0090386,4500.0,1650.0
4600000,1708.2,-3506.62,7343.69,-2714.56,110.18,-2620.45,-5125.41,-2499.53,-2894.93,-6599.07,2401.73,-1947.06,0.00907548,4600.0,1650.0
4700000,1722.02,3450.51,7343.69,-2707.48,111.072,-2580.59,1994.33,10259.8,-1902.6,-2963.59,-2859.59,-5301.35,0.00911615,4700.0,1650.0
4800000,1681.81,-273.237,7343.69,-2712.58,108.478,-2605.35,3885.48,-2874.03,-1831.15,-4885.42,-2225.43,-7559.67,0.00922167,4800.0,1650.0
4900000,1664.18,-3286.73,7343.69,-2720.51,107.341,-2628.23,156.617,-4408.7,-5608.09,893.454,-6074.15,1238.02,0.00888172,4900.0,1650.0
5000000,1725.75,-1646.64,7343.69,-2718.07,111.312,-2614.3,-7522.27,-3026.7,5609.04,243.516,2857.21,-4355.7,0.0087461,5000.0,1650.0
5100000,1629.13,2937.78,7343.69,-2710.48,105.08,-2591.93,3620.86,3002.72,2189.77,-2966.27,4093.69,-5311.11,0.00881374,5100.0,1650.0
5200000,1633.96,-250.223,7343.69,-2718.58,105.392,-2614.34,-9271.03,6499.33,2021.03,31.8165,-1317.68,-2568.15,0.00890103,5200.0,1650.0
5300000,1668.7,-3376.81,7343.69,-2719.13,107.632,-2626.98,-3029.16,-2523.35,-4577.93,4289.6,-14.6571,4797.52,0.00956563,5300.0,1650.0
5400000,1552.0,-6486.31,7343.69,-2721.62,100.106,-2651.25,-9143.93,-3369.46,-6945.56,1572.48,1212.44,2121.99,0.00932244,5400.0,1650.0
5500000,1662.13,-4904.28,7343.69,-2722.31,107.209,-2637.58,-6801.09,-398.612,-7513.12,-5463.2,5102.03,-7571.9,0.00929134,5500.0,1650.0
5600000,1501.93,-2973.75,7343.69,-2720.4,96.8755,-2637.15,3805.26,-990.62,-11735.9,3707.81,-2589.84,-7627.51,0.00906562,5600.0,1650.0
5700000,1728.76,579.946,7343.69,-2713.4,111.506,-2599.24,-2630.61,5891.4,-1520.95,-594.701,1999.11,14212.3,0.00961298,5700.0,1650.0
5800000,1718.49,-2696.58,7343.69,-2721.77,110.844,-2623.29,-2908.33,1014.84,-6196.25,2481.17,1590.78,1041.65,0.00935289,5800.0,1650.0
