TimeStep,temp,pressure,vol,pe,ke,enthalpy,pxx,pyy,pzz,pxy,pxz,pyz,visc,time,hold_temp
0,248.832,3873.91,5544.1,-2270.75,16.0498,-2241.29,5323.96,2496.18,3801.6,-187.305,-3630.3,1610.52,0.00423185,0.0,250.0
100000,249.31,3431.38,5544.1,-2271.06,16.0807,-2243.11,-401.48,3412.69,7282.94,2963.38,-5506.42,-1393.36,14.4509,100.0,250.0
200000,252.553,1565.97,5544.1,-2271.4,16.2899,-2249.7,-14.2941,1559.2,3152.99,1616.31,-3822.32,212.848,14.8025,200.0,250.0
300000,242.646,3405.72,5544.1,-2270.66,15.6508,-2243.23,114.931,5891.59,4210.63,1457.59,-5125.82,-359.985,14.5902,300.0,250.0
400000,251.401,4648.22,5544.1,-2270.54,16.2156,-2238.24,2001.84,5807.24,6135.58,3710.17,-5651.43,1667.05,14.5237,400.0,250.0
500000,259.466,4170.86,5544.1,-2271.75,16.7358,-2240.58,1850.61,4635.11,6026.87,861.683,-3552.5,1283.13,14.2568,500.0,250.0
600000,262.296,4233.64,5544.1,-2271.79,16.9183,-2240.22,4591.46,3473.95,4635.5,1576.81,-6664.54,-453.003,14.2507,600.0,250.0
700000,249.009,3025.09,5544.1,-2270.66,16.0613,-2244.13,485.868,3635.34,4954.06,549.801,-5514.26,2272.71,14.2845,700.0,250.0
800000,251.603,5261.35,5544.1,-2270.57,16.2286,-2236.14,10140.9,1964.77,3678.35,341.521,-4995.83,-578.07,14.214,800.0,250.0
900000,259.679,2692.8,5544.1,-2271.47,16.7495,-2245.4,2190.8,-336.787,6224.4,4675.73,-6021.72,449.379,14.1666,900.0,250.0
1000000,246.93,1598.66,5544.1,-2270.54,15.9272,-2249.08,-35.0439,316.191,4514.83,5994.19,-6947.37,61.6148,14.159,1000.0,250.0
1100000,242.152,2228.08,5544.1,-2271.33,15.619,-2248.0,1700.31,-783.637,5767.57,460.373,-2842.37,-1457.15,14.1579,1100.0,250.0
1200000,263.681,2723.71,5544.1,-2271.67,17.0076,-2245.24,3308.39,1327.98,3534.77,2730.76,-1930.65,-918.571,14.1705,1200.0,250.0
1300000,234.909,2174.81,5544.1,-2271.42,15.1518,-2248.74,2585.33,2526.0,1413.09,520.022,-6074.53,2235.08,14.1778,1300.0,250.0
1400000,261.353,3912.42,5544.1,-2271.29,16.8575,-2240.89,5891.77,1565.66,4279.82,1337.86,-4400.51,-2038.5,14.1647,1400.0,250.0
1500000,262.097,3885.74,5544.1,-2271.46,16.9055,-2241.11,3701.84,5196.97,2758.39,2149.19,-6539.21,2133.78,14.103,1500.0,250.0
1600000,257.256,4777.06,5544.1,-2270.84,16.5932,-2237.72,2438.69,8064.09,3828.4,2654.84,-3736.03,1826.19,14.0777,1600.0,250.0
1700000,231.197,2204.52,5544.1,-2271.44,14.9124,-2248.9,1666.96,-170.938,5117.54,1571.14,-3873.49,-1174.78,14.0801,1700.0,250.0
1800000,243.431,1665.81,5544.1,-2272.56,15.7015,-2251.1,-516.861,3060.24,2454.06,4197.46,-2659.97,310.179,14.0762,1800.0,250.0
1900000,257.9,2384.21,5544.1,-2271.43,16.6347,-2246.54,2707.15,2875.61,1569.88,-1694.77,-5585.64,112.306,14.0858,1900.0,250.0
2000000,238.584,3171.93,5544.1,-2271.46,15.3889,-2245.09,4605.41,2665.36,2245.01,4165.28,-5384.97,2464.9,14.042,2000.0,250.0
2100000,243.248,4990.92,5544.1,-2271.06,15.6897,-2238.1,4421.58,4767.41,5783.76,-809.816,-4029.64,1459.31,13.9416,2100.0,250.0
2200000,243.137,4044.35,5544.1,-2271.84,15.6825,-2242.16,4976.36,4974.9,2181.78,2427.8,-4753.98,1371.84,13.812,2200.0,250.0
2300000,260.869,3737.6,5544.1,-2270.95,16.8262,-2241.19,4913.67,4045.7,2253.44,1297.41,-3569.71,1248.09,13.7952,2300.0,250.0
2400000,236.704,1553.6,5544.1,-2271.23,15.2676,-2250.59,2686.4,-712.94,2687.35,3217.06,-2671.49,2348.38,13.7818,2400.0,250.0
2500000,250.972,1850.54,5544.1,-2270.88,16.1879,-2248.29,3039.86,-2137.23,4648.99,2743.21,-2890.42,-2063.65,13.7654,2500.0,250.0
2600000,264.376,3362.2,5544.1,-2271.27,17.0525,-2242.59,392.611,3325.3,6368.69,2772.66,-4530.27,610.401,13.7822,2600.0,250.0
2700000,242.901,2309.89,5544.1,-2271.4,15.6673,-2247.74,4008.94,141.807,2778.92,5633.26,-4077.17,96.8136,13.7677,2700.0,250.0
2800000,250.034,4147.56,5544.1,-2271.81,16.1274,-2241.33,3026.09,5239.42,4177.15,432.513,-2675.63,375.264,13.7089,2800.0,250.0
2900000,252.864,3521.45,5544.1,-2271.17,16.3099,-2242.67,3342.79,2591.29,4630.27,4238.53,-4637.36,-381.377,13.6816,2900.0,250.0
3000000,244.536,2279.49,5544.1,-2271.75,15.7728,-2248.09,2052.61,1219.09,3566.77,3345.85,-2566.8,-236.958,13.6891,3000.0,250.0
3100000,261.67,1821.2,5544.1,-2271.63,16.8779,-2248.45,3076.89,864.684,1522.02,1981.83,-1103.72,1257.18,13.6828,3100.0,250.0
3200000,237.401,1386.48,5544.1,-2270.9,15.3125,-2250.79,4725.9,151.224,-717.687,963.574,-1832.88,-421.695,13.6542,3200.0,250.0
3300000,247.457,2579.56,5544.1,-2271.75,15.9612,-2246.86,1567.29,4776.21,1395.19,2452.34,-5068.02,722.953,13.6933,3300.0,250.0
3400000,238.094,3257.8,5544.1,-2271.5,15.3573,-2244.87,4045.21,1716.26,4011.91,1951.97,-5617.41,-390.088,13.7506,3400.0,250.0
