TimeStep,temp,pressure,vol,pe,ke,enthalpy,pxx,pyy,pzz,pxy,pxz,pyz,visc,time,hold_temp
0,194.62,-852.67,5536.08,-2274.96,12.5532,-2265.36,-129.731,-834.583,-1593.7,-4066.48,667.03,-274.6,0.00569939,0.0,200.0
100000,194.186,199.889,5536.08,-2274.91,12.5251,-2261.7,1027.94,-1502.36,1074.09,-1115.84,-3322.82,692.713,6.79692,100.0,200.0
200000,197.111,-456.193,5536.08,-2275.44,12.7138,-2264.3,2034.65,1142.08,-4545.3,-1010.42,1588.49,1480.64,6.55169,200.0,200.0
300000,202.321,164.012,5536.08,-2274.92,13.0499,-2261.3,-3446.5,1949.21,1989.33,-3687.73,1574.31,335.053,6.5994,300.0,200.0
400000,195.913,58.7865,5536.08,-2275.57,12.6366,-2262.73,142.347,-842.165,876.178,1427.81,422.589,1365.61,6.63419,400.0,200.0
500000,196.097,-1302.18,5536.08,-2275.2,12.6484,-2267.05,-3284.64,244.306,-866.214,-2080.44,-2726.75,1013.53,6.61996,500.0,200.0
600000,199.506,867.41,5536.08,-2275.23,12.8683,-2259.36,-1259.33,3092.94,768.62,-2704.66,-648.782,-2121.31,6.56832,600.0,200.0
700000,202.958,-17.7239,5536.08,-2274.6,13.0909,-2261.57,813.871,-245.607,-621.435,-2137.44,-354.155,-295.111,6.56496,700.0,200.0
800000,210.15,-919.002,5536.08,-2276.16,13.5548,-2265.78,600.754,-1882.11,-1475.65,-6308.13,-1855.36,1952.1,6.56737,800.0,200.0
900000,193.673,742.369,5536.08,-2275.38,12.4921,-2260.32,-2094.43,1230.95,3090.59,-1716.06,-1599.62,2123.62,6.5537,900.0,200.0
1000000,194.847,-536.599,5536.08,-2275.9,12.5678,-2265.18,-1745.96,-104.478,240.637,-1405.88,-3656.54,-509.921,6.567,1000.0,200.0
1100000,202.535,-1570.76,5536.08,-2275.28,13.0637,-2267.65,-1095.37,-2564.65,-1052.27,-2199.03,-2551.49,1480.56,6.5856,1100.0,200.0
1200000,188.845,-0.740318,5536.08,-2275.69,12.1806,-2263.51,-84.1292,437.151,-355.243,-723.854,445.601,2399.28,6.59108,1200.0,200.0
1300000,203.477,1128.03,5536.08,-2275.47,13.1245,-2258.44,-241.427,172.666,3452.84,-1470.57,-7.35862,-1761.6,6.59481,1300.0,200.0
1400000,192.361,-490.684,5536.08,-2276.09,12.4074,-2265.38,721.202,-3597.6,1404.35,1817.67,-226.184,-3172.84,6.59536,1400.0,200.0
1500000,204.201,98.4154,5536.08,-2275.32,13.1711,-2261.81,532.359,658.424,-895.536,-1642.84,-2365.83,-501.45,6.59183,1500.0,200.0
1600000,202.743,-2287.25,5536.08,-2275.9,13.0771,-2270.73,-3310.88,-1708.41,-1842.47,-1517.65,-1443.21,733.233,6.58009,1600.0,200.0
1700000,191.158,1753.55,5536.08,-2274.62,12.3298,-2256.23,3970.68,840.668,449.294,-1090.76,-590.466,-1420.21,6.57736,1700.0,200.0
1800000,211.47,-412.718,5536.08,-2276.02,13.64,-2263.8,1437.45,756.631,-3432.24,-3317.44,-1229.15,781.629,6.56994,1800.0,200.0
1900000,188.813,-385.853,5536.08,-2274.74,12.1786,-2263.89,-2460.57,1617.96,-314.95,-2232.84,-1396.47,-2738.11,6.57392,1900.0,200.0
2000000,201.32,-476.391,5536.08,-2275.38,12.9853,-2264.04,1004.28,-203.49,-2229.97,-857.248,-231.186,-132.262,6.57238,2000.0,200.0
2100000,206.646,-1927.97,5536.08,-2275.62,13.3288,-2268.96,-3621.48,-1072.23,-1090.2,-3440.66,-2384.33,1681.48,6.5705,2100.0,200.0
2200000,196.496,41.6301,5536.08,-2275.63,12.6741,-2262.81,176.443,964.865,-1016.42,-4724.24,272.801,-407.346,6.58134,2200.0,200.0
2300000,199.507,-886.359,5536.08,-2275.58,12.8684,-2265.77,233.829,-3703.43,810.524,-4277.04,-2853.53,-499.184,6.58337,2300.0,200.0
2400000,204.482,19.8873,5536.08,-2275.32,13.1893,-2262.06,-1086.35,1538.99,-392.983,-256.002,-1327.42,-1228.58,6.58444,2400.0,200.0
2500000,208.085,-942.048,5536.08,-2275.77,13.4216,-2265.6,1691.15,-2779.01,-1738.28,-5141.92,-1838.72,-2115.69,6.57643,2500.0,200.0
2600000,212.936,1637.16,5536.08,-2274.55,13.7345,-2255.16,94.1837,1977.64,2839.65,-2774.52,-1232.32,-57.6693,6.57372,2600.0,200.0
2700000,198.835,-754.384,5536.08,-2276.08,12.825,-2265.86,-20.9335,-907.966,-1334.25,-2672.37,-1938.99,-604.437,6.57285,2700.0,200.0
2800000,198.173,-1167.18,5536.08,-2275.86,12.7823,-2267.11,-1440.02,-2510.29,448.777,-2696.28,525.144,-2920.84,6.57489,2800.0,200.0
2900000,211.046,-1668.46,5536.08,-2276.34,13.6126,-2268.49,-3815.6,-367.598,-822.176,-3006.42,770.554,-254.832,6.57708,2900.0,200.0
3000000,198.705,643.849,5536.08,-2275.44,12.8167,-2260.4,852.816,2172.72,-1093.99,472.406,-2529.53,491.702,6.5849,3000.0,200.0
3100000,205.313,-788.996,5536.08,-2275.44,13.2429,-2264.92,-1206.25,1764.05,-2924.78,-3933.61,-1826.7,-1340.4,6.58891,3100.0,200.0
3200000,217.188,587.252,5536.08,-2275.33,14.0088,-2259.3,-537.378,2046.1,253.033,-3537.32,-554.687,1142.56,6.58545,3200.0,200.0
3300000,202.694,1345.91,5536.08,-2274.48,13.0739,-2256.75,2422.63,-475.588,2090.68,245.941,1668.42,682.532,6.58228,3300.0,200.0
3400000,197.81,1389.87,5536.08,-2275.48,12.7589,-2257.92,3616.46,-1237.92,1791.08,-2388.08,-2874.58,-425.211,6.58305,3400.0,200.0
3500000,200.665,1420.66,5536.08,-2274.44,12.943,-2256.59,857.377,2481.63,922.965,-2244.25,-1193.74,469.46,6.58449,3500.0,200.0
3600000,193.991,-501.868,5536.08,-2275.94,12.5126,-2265.16,-1871.33,948.229,-582.507,-3807.89,-3255.45,291.495,6.58386,3600.0,200.0
3700000,200.045,-992.872,5536.08,-2276.04,12.9031,-2266.57,-2105.7,-568.809,-304.11,-2382.58,-465.473,-270.935,6.58315,3700.0,200.0
3800000,202.437,1795.18,5536.08,-2275.11,13.0573,-2255.85,1213.18,4384.47,-212.105,-553.973,-1215.48,875.138,6.57958,3800.0,200.0
3900000,214.56,730.436,5536.08,-2275.24,13.8393,-2258.87,555.44,1057.12,578.753,-3295.76,-1579.53,-1461.72,6.58144,3900.0,200.0
4000000,201.053,1315.67,5536.08,-2275.53,12.9681,-2258.01,-1503.11,2216.69,3233.42,-4697.59,-3844.88,-888.751,6.57941,4000.0,200.0
4100000,217.324,-1665.1,5536.08,-2276.48,14.0176,-2268.22,-2079.25,-1068.43,-1847.63,145.463,-673.566,1205.77,6.57609,4100.0,200.0
4200000,203.274,2280.55,5536.08,-2274.27,13.1113,-2253.28,3371.67,2669.77,800.2,-3420.93,-66.2895,-942.151,6.57938,4200.0,200.0
4300000,209.404,1497.98,5536.08,-2274.68,13.5068,-2256.0,682.069,3512.09,299.782,840.56,-2913.06,-1484.23,6.58405,4300.0,200.0
4400000,195.872,-1469.6,5536.08,-2275.86,12.6339,-2268.3,-1023.07,-1916.07,-1469.65,-1412.98,-1607.97,-1224.84,6.5826,4400.0,200.0
4500000,199.437,315.97,5536.08,-2275.14,12.8638,-2261.19,2101.34,-280.671,-872.756,-1473.5,-3161.51,-178.7,6.57724,4500.0,200.0
4600000,199.848,-919.484,5536.08,-2275.6,12.8904,-2265.88,-3176.47,-359.195,777.208,-3669.84,-3674.14,920.269,6.57471,4600.0,200.0
