TimeStep,temp,pressure,vol,pe,ke,enthalpy,pxx,pyy,pzz,pxy,pxz,pyz,visc,time,hold_temp
0,162.206,1632.39,8791.3,-2474.22,10.4624,-2454.8,1183.2,4694.75,-980.77,-1103.38,-507.528,13.2751,0.00104372,0.0,150.0
100000,143.015,1403.63,8791.3,-2474.71,9.22457,-2457.78,1109.43,4228.5,-1127.03,205.484,-1312.77,1630.91,1.98513,100.0,150.0
200000,152.637,2019.88,8791.3,-2473.79,9.84523,-2452.86,1080.43,4152.38,826.834,426.467,-1007.77,514.458,1.93989,200.0,150.0
300000,154.92,1660.72,8791.3,-2474.93,9.99245,-2455.82,2346.1,4254.91,-1618.84,792.128,-1604.81,1206.59,1.9455,300.0,150.0
400000,143.212,1487.06,8791.3,-2474.49,9.23732,-2457.09,1298.48,3661.18,-498.492,152.707,-2282.51,124.77,1.95033,400.0,150.0
500000,140.929,1325.55,8791.3,-2474.32,9.09001,-2457.96,1195.2,3404.4,-622.945,-165.891,-1569.82,-300.316,1.94678,500.0,150.0
600000,145.446,1935.96,8791.3,-2474.04,9.3814,-2454.04,2861.83,2790.3,155.759,-438.802,-816.848,949.076,1.94144,600.0,150.0
700000,155.991,1625.47,8791.3,-2473.96,10.0616,-2454.98,2227.83,4347.52,-1698.95,265.669,-495.685,282.464,1.93028,700.0,150.0
800000,151.141,2112.97,8791.3,-2473.96,9.74874,-2452.62,1421.51,4400.94,516.458,287.813,-257.298,1170.81,1.9315,800.0,150.0
900000,152.273,2140.03,8791.3,-2474.66,9.82175,-2453.09,2422.41,5218.12,-1220.43,-50.0578,-780.002,983.718,1.93115,900.0,150.0
1000000,157.155,1528.41,8791.3,-2474.71,10.1366,-2456.18,2160.19,3344.57,-919.53,580.916,-880.755,331.982,1.93707,1000.0,150.0
1100000,157.272,2390.57,8791.3,-2474.06,10.1442,-2450.8,2527.84,4988.46,-344.583,1505.75,99.0899,550.631,1.93651,1100.0,150.0
1200000,146.118,1651.01,8791.3,-2474.33,9.42475,-2455.85,2540.51,4215.42,-1802.9,-304.105,-1621.62,1184.93,1.93694,1200.0,150.0
