TimeStep,temp,pressure,vol,pe,ke,enthalpy,pxx,pyy,pzz,pxy,pxz,pyz,visc,time,hold_temp
0,205.482,-456.767,10527.1,-2857.19,13.2537,-2846.94,4298.48,-2239.23,-3429.55,2073.13,-403.173,3250.87,0.00954913,0.0,200.0
100000,171.914,-656.306,10527.1,-2857.93,11.0886,-2851.16,2640.86,-3520.3,-1089.48,3058.62,-852.835,1503.54,13.1978,100.0,200.0
200000,196.452,154.621,10527.1,-2857.14,12.6713,-2843.45,2646.2,-899.631,-1282.71,1381.06,531.488,2494.71,13.3048,200.0,200.0
300000,207.115,-132.816,10527.1,-2857.57,13.3591,-2845.08,2379.08,-2474.55,-302.982,2004.33,-246.737,2080.54,13.3175,300.0,200.0
400000,192.618,127.827,10527.1,-2858.19,12.424,-2844.93,3327.03,-1933.12,-1010.43,2522.31,-69.362,2574.54,13.2849,400.0,200.0
500000,193.087,-597.687,10527.1,-2858.12,12.4543,-2849.59,1852.2,-2863.46,-781.802,319.109,-36.7527,1610.57,13.2012,500.0,200.0
600000,192.387,-571.24,10527.1,-2858.96,12.4091,-2850.31,1766.68,-1183.21,-2297.19,1406.21,-798.139,2099.8,13.1673,600.0,200.0
700000,199.266,448.513,10527.1,-2857.4,12.8528,-2841.6,3843.03,-2094.57,-402.925,2417.14,-646.883,2663.57,13.2134,700.0,200.0
800000,196.356,-415.967,10527.1,-2856.97,12.6651,-2847.04,1731.86,-1287.26,-1692.51,2300.18,-889.614,2589.74,13.1993,800.0,200.0
900000,205.514,-81.0559,10527.1,-2857.61,13.2558,-2844.89,3084.31,-2064.42,-1263.06,1674.52,257.646,2719.84,13.2161,900.0,200.0
1000000,191.491,120.662,10527.1,-2858.02,12.3513,-2844.88,3702.45,-3578.7,238.235,1725.66,590.036,2064.66,13.2296,1000.0,200.0
1100000,197.218,-584.396,10527.1,-2857.85,12.7207,-2848.97,2379.15,-3298.65,-833.689,2325.13,-167.425,2874.32,13.2437,1100.0,200.0
1200000,193.858,85.1475,10527.1,-2858.03,12.504,-2844.97,3062.67,-1102.79,-1704.44,2550.27,1318.79,2445.76,13.2371,1200.0,200.0
1300000,190.181,376.32,10527.1,-2858.32,12.2668,-2843.58,3463.14,-1952.21,-381.972,2538.57,307.537,2268.24,13.2256,1300.0,200.0
1400000,202.623,58.4622,10527.1,-2858.05,13.0694,-2844.6,2919.18,-2710.47,-33.3215,2227.42,-385.912,3024.99,13.2019,1400.0,200.0
1500000,209.34,-97.8081,10527.1,-2857.68,13.5026,-2844.82,3037.02,-3084.55,-245.894,2406.8,-457.002,1742.45,13.2125,1500.0,200.0
1600000,203.267,347.389,10527.1,-2857.24,13.1109,-2841.84,3617.17,-1443.64,-1131.37,2296.78,-1039.42,2133.07,13.2291,1600.0,200.0
1700000,208.031,50.8453,10527.1,-2857.1,13.4181,-2843.34,3204.26,-2789.08,-262.642,2713.98,-218.947,3145.13,13.2405,1700.0,200.0
1800000,196.105,210.11,10527.1,-2857.57,12.6489,-2843.54,4303.53,-1970.49,-1702.7,1696.39,315.078,812.32,13.2295,1800.0,200.0
1900000,210.903,-708.343,10527.1,-2859.05,13.6034,-2850.1,2475.5,-2443.53,-2157.0,1353.09,-360.781,2835.93,13.2266,1900.0,200.0
2000000,195.771,-379.481,10527.1,-2858.31,12.6274,-2848.18,2238.02,-2578.2,-798.262,1860.22,340.011,2350.33,13.2104,2000.0,200.0
2100000,205.097,426.451,10527.1,-2856.51,13.2289,-2840.47,3727.88,-787.549,-1660.97,1685.8,755.215,1435.35,13.2033,2100.0,200.0
2200000,200.23,204.138,10527.1,-2857.88,12.915,-2843.62,2872.7,-2144.06,-116.218,1118.56,524.065,3414.87,13.1993,2200.0,200.0
2300000,204.749,400.33,10527.1,-2856.57,13.2065,-2840.73,3713.25,-2669.3,157.045,2046.33,-623.865,1728.49,13.1925,2300.0,200.0
2400000,204.355,-1297.06,10527.1,-2858.36,13.1811,-2853.7,2333.61,-3014.3,-3210.49,1869.15,-292.765,2625.4,13.175,2400.0,200.0
2500000,187.918,-476.925,10527.1,-2858.35,12.1208,-2849.36,1912.75,-2189.89,-1153.63,1368.91,-744.706,1923.04,13.1575,2500.0,200.0
2600000,202.892,314.6,10527.1,-2856.48,13.0867,-2841.33,3731.93,-1676.04,-1112.09,1723.04,-503.365,1700.69,13.1366,2600.0,200.0
2700000,201.422,349.193,10527.1,-2858.14,12.9919,-2842.86,3176.41,-1421.36,-707.472,3797.92,540.912,1933.44,13.1266,2700.0,200.0
2800000,193.944,-610.879,10527.1,-2857.01,12.5096,-2848.51,2442.49,-2327.56,-1947.57,1919.28,-1299.52,3172.01,13.1233,2800.0,200.0
2900000,192.529,18.0999,10527.1,-2857.72,12.4183,-2845.19,3466.9,-1278.89,-2133.71,3061.81,-211.124,2527.45,13.1103,2900.0,200.0
3000000,201.139,175.435,10527.1,-2856.85,12.9736,-2842.72,2214.92,-458.877,-1229.74,2049.93,-36.8582,2857.64,13.1093,3000.0,200.0
3100000,207.005,-26.5911,10527.1,-2858.14,13.352,-2844.97,2553.33,-2149.32,-483.782,2012.06,-340.593,1788.35,13.1059,3100.0,200.0
3200000,209.298,-71.3443,10527.1,-2857.93,13.4999,-2844.9,1846.58,-1760.14,-300.473,1690.87,417.012,1802.36,13.1079,3200.0,200.0
3300000,193.215,-500.173,10527.1,-2858.47,12.4625,-2849.29,2560.64,-2884.06,-1177.09,3169.31,-1518.78,3123.07,13.1106,3300.0,200.0
3400000,198.704,-368.442,10527.1,-2858.18,12.8165,-2847.79,1822.43,-2970.94,43.1866,2610.65,-814.416,2162.36,13.1119,3400.0,200.0
3500000,206.09,-369.178,10527.1,-2857.44,13.293,-2846.57,3396.82,-1797.77,-2706.58,3987.38,-336.894,2535.47,13.1114,3500.0,200.0
3600000,201.402,-42.9326,10527.1,-2857.67,12.9906,-2844.97,3097.7,-2257.4,-969.093,2121.54,327.779,2973.96,13.1169,3600.0,200.0
3700000,204.283,-26.5041,10527.1,-2857.88,13.1765,-2844.88,3716.52,-1415.41,-2380.63,2180.13,-379.533,3455.26,13.1175,3700.0,200.0
3800000,197.005,-352.83,10527.1,-2858.09,12.707,-2847.7,2647.26,-3868.24,162.497,2393.73,656.637,1810.17,13.1133,3800.0,200.0
3900000,202.424,-752.626,10527.1,-2858.44,13.0565,-2850.33,1836.47,-3092.66,-1001.68,1722.12,394.329,3182.42,13.1071,3900.0,200.0
4000000,199.978,-279.449,10527.1,-2857.71,12.8987,-2846.64,1878.45,-429.857,-2286.94,1397.51,-962.108,2533.66,13.1075,4000.0,200.0
4100000,199.695,259.746,10527.1,-2857.75,12.8805,-2843.16,2859.95,-1262.99,-817.72,2868.45,-365.779,2899.67,13.112,4100.0,200.0
