TimeStep,temp,pressure,vol,pe,ke,enthalpy,pxx,pyy,pzz,pxy,pxz,pyz,visc,time,hold_temp
0,107.566,158.871,9494.42,-2652.49,6.9381,-2644.61,2184.25,-147.808,-1559.83,-1207.64,1845.04,1333.57,0.00761142,0.0,100.0
100000,100.181,-162.288,9494.42,-2652.71,6.46174,-2647.21,2088.83,-2070.37,-505.319,-277.255,971.309,561.928,7.82213,100.0,100.0
200000,103.419,8.03389,9494.42,-2652.9,6.67063,-2646.18,1228.65,-1029.64,-174.901,-816.965,530.129,724.223,7.86814,200.0,100.0
300000,105.606,-9.49605,9494.42,-2652.7,6.8117,-2645.95,663.327,-136.296,-555.519,-134.804,218.828,1359.14,7.83981,300.0,100.0
400000,95.0746,-159.988,9494.42,-2652.87,6.13239,-2647.69,900.967,-1015.22,-365.707,-1779.53,1524.67,889.024,7.8627,400.0,100.0
500000,94.451,-308.342,9494.42,-2653.05,6.09216,-2648.79,347.994,-1396.14,123.123,-1912.0,501.356,373.691,7.8609,500.0,100.0
600000,95.6033,435.067,9494.42,-2652.62,6.16649,-2643.88,1402.7,-451.687,354.186,-775.008,519.3,303.809,7.86783,600.0,100.0
700000,104.908,76.9531,9494.42,-2652.76,6.76667,-2645.54,1844.38,-1075.23,-538.3,-1169.15,635.06,1636.99,7.87146,700.0,100.0
800000,92.7782,225.2,9494.42,-2652.86,5.98427,-2645.54,1683.62,-464.141,-543.878,-680.909,1331.07,1401.95,7.88104,800.0,100.0
900000,103.605,416.582,9494.42,-2652.94,6.68264,-2643.79,2722.4,-1563.31,90.6551,-1197.5,587.234,400.656,7.88825,900.0,100.0
1000000,105.522,625.464,9494.42,-2652.73,6.80624,-2642.22,1849.89,-716.385,742.893,-1586.98,740.604,1164.11,7.88158,1000.0,100.0
1100000,106.985,116.513,9494.42,-2652.94,6.90063,-2645.35,1124.9,-1297.95,522.58,-478.089,1985.83,1448.98,7.89008,1100.0,100.0
1200000,105.261,187.49,9494.42,-2652.77,6.78941,-2644.87,1041.09,-1028.05,549.426,-1635.72,1874.07,535.655,7.89794,1200.0,100.0
1300000,97.9902,723.448,9494.42,-2652.39,6.32045,-2641.79,1503.52,5.35081,661.476,-2203.72,1320.15,1439.51,7.90802,1300.0,100.0
1400000,91.7737,309.423,9494.42,-2652.76,5.91948,-2645.01,1457.47,-1619.49,1090.29,-1542.1,951.627,405.607,7.90443,1400.0,100.0
1500000,96.0337,208.922,9494.42,-2652.92,6.19425,-2645.49,2029.11,-1388.26,-14.0865,-583.677,1573.53,999.352,7.91154,1500.0,100.0
1600000,100.051,76.1258,9494.42,-2653.19,6.45338,-2646.29,1332.31,-1420.52,316.585,-161.576,108.69,1216.17,7.91142,1600.0,100.0
1700000,105.455,-43.799,9494.42,-2652.82,6.80193,-2646.28,1233.02,-467.05,-897.368,-1599.12,1187.4,1044.03,7.91826,1700.0,100.0
1800000,93.5621,-143.207,9494.42,-2652.49,6.03483,-2647.31,-302.479,-1121.16,994.019,-613.727,543.441,980.958,7.92267,1800.0,100.0
1900000,105.24,153.599,9494.42,-2652.99,6.7881,-2645.29,1471.67,-270.736,-740.138,-1921.09,1122.3,517.952,7.91281,1900.0,100.0
2000000,93.9286,220.245,9494.42,-2653.02,6.05847,-2645.66,2202.53,-1136.97,-404.827,-463.386,1268.23,782.505,7.90834,2000.0,100.0
2100000,101.09,140.844,9494.42,-2652.76,6.52038,-2645.4,2601.25,-1045.69,-1133.03,211.833,423.522,635.662,7.91286,2100.0,100.0
2200000,105.192,28.5621,9494.42,-2653.07,6.78496,-2646.12,906.039,-665.976,-154.377,-912.812,1697.99,383.749,7.91009,2200.0,100.0
2300000,96.1138,93.2953,9494.42,-2653.28,6.19942,-2646.52,1189.77,-33.6451,-876.238,-1995.83,239.199,1325.24,7.9119,2300.0,100.0
2400000,103.028,-84.6633,9494.42,-2653.02,6.64541,-2646.88,564.658,-212.988,-605.659,-1132.78,1993.8,1169.97,7.916,2400.0,100.0
2500000,100.523,296.755,9494.42,-2652.92,6.4838,-2644.68,822.818,-1225.75,1293.2,-963.423,1889.05,520.22,7.91715,2500.0,100.0
2600000,100.518,337.469,9494.42,-2652.92,6.48347,-2644.44,969.228,-1010.53,1053.71,-1005.33,1624.32,1471.53,7.9189,2600.0,100.0
2700000,94.3795,-48.1938,9494.42,-2652.8,6.08755,-2647.0,2326.59,-1433.67,-1037.5,-1173.32,651.429,525.065,7.92127,2700.0,100.0
2800000,100.696,-5.50258,9494.42,-2652.89,6.49497,-2646.43,1631.84,-1217.6,-430.749,-1859.63,1713.92,381.477,7.92611,2800.0,100.0
2900000,98.3911,-72.033,9494.42,-2652.95,6.34631,-2647.03,644.778,-1551.83,690.956,-834.924,663.288,528.71,7.92503,2900.0,100.0
3000000,95.366,-39.3162,9494.42,-2652.81,6.15119,-2646.89,989.384,-1575.8,468.47,-436.638,1614.08,1059.97,7.92007,3000.0,100.0
3100000,102.863,272.963,9494.42,-2652.97,6.63476,-2644.72,2125.54,-1142.26,-164.387,-1209.01,841.013,922.476,7.919,3100.0,100.0
3200000,91.8093,-59.814,9494.42,-2652.89,5.92177,-2647.32,1136.69,-690.969,-625.163,-845.08,1749.58,24.2181,7.92011,3200.0,100.0
3300000,106.255,-81.4062,9494.42,-2652.44,6.85355,-2646.07,912.484,-2039.25,882.545,-1117.82,283.799,208.349,7.91827,3300.0,100.0
3400000,97.8545,318.732,9494.42,-2652.8,6.3117,-2644.6,2230.03,-1027.8,-246.033,-1384.89,1626.57,1278.03,7.9182,3400.0,100.0
3500000,104.629,419.718,9494.42,-2652.62,6.74867,-2643.38,1156.04,-357.189,460.302,-1136.01,1250.08,79.353,7.91602,3500.0,100.0
3600000,104.631,317.571,9494.42,-2652.9,6.74876,-2644.26,1554.85,-28.7265,-573.41,-1168.5,794.338,1335.6,7.91504,3600.0,100.0
3700000,99.3092,163.373,9494.42,-2652.87,6.40552,-2645.5,1346.29,-533.211,-322.962,-1331.92,1602.3,97.9612,7.9154,3700.0,100.0
3800000,104.196,274.485,9494.42,-2653.27,6.72073,-2644.93,1676.2,-1149.67,296.925,-1031.23,768.465,1532.58,7.91713,3800.0,100.0
3900000,103.163,186.924,9494.42,-2652.76,6.65411,-2645.0,1219.88,580.307,-1239.42,-823.225,1348.25,1326.8,7.89093,3900.0,100.0
4000000,94.7531,187.463,9494.42,-2653.2,6.11165,-2645.97,946.64,-559.197,174.947,-961.848,704.291,973.95,7.86169,4000.0,100.0
4100000,100.741,82.1268,9494.42,-2652.91,6.49789,-2645.93,327.118,671.128,-751.866,-1160.53,1206.03,808.235,7.83283,4100.0,100.0
4200000,100.748,-503.126,9494.42,-2652.7,6.49836,-2649.18,497.694,-968.179,-1038.89,-1715.56,285.962,970.004,7.80937,4200.0,100.0
4300000,101.653,441.792,9494.42,-2653.05,6.5567,-2643.88,1321.71,159.663,-155.999,-1038.6,1606.4,1127.98,7.80778,4300.0,100.0
4400000,96.1157,229.093,9494.42,-2652.54,6.19954,-2644.98,941.008,-59.3717,-194.356,-795.684,1230.51,1817.14,7.80991,4400.0,100.0
4500000,105.786,23.7869,9494.42,-2653.5,6.82326,-2646.54,1570.03,-643.04,-855.633,-1867.82,911.913,561.362,7.81477,4500.0,100.0
4600000,99.0927,398.674,9494.42,-2652.88,6.39156,-2644.12,1549.9,-326.56,-27.3171,-1694.4,903.736,1450.41,7.81975,4600.0,100.0
4700000,102.709,149.993,9494.42,-2652.87,6.62484,-2645.36,1930.2,-1414.7,-65.5204,-1870.09,1574.16,669.217,7.82221,4700.0,100.0
4800000,99.0902,244.342,9494.42,-2652.61,6.3914,-2644.77,1618.5,-453.62,-431.85,-1729.85,709.233,471.794,7.82402,4800.0,100.0
4900000,105.776,559.611,9494.42,-2652.85,6.82263,-2642.71,2230.43,-850.308,298.71,-1289.63,1115.42,659.785,7.82397,4900.0,100.0
5000000,91.6473,237.443,9494.42,-2652.3,5.91132,-2644.98,1209.87,-1262.14,764.596,-766.48,698.116,1974.01,7.82723,5000.0,100.0
5100000,99.4897,236.516,9494.42,-2652.73,6.41717,-2644.91,2019.89,-1260.52,-49.8214,-900.905,1971.95,402.83,7.83035,5100.0,100.0
5200000,88.4059,438.172,9494.42,-2652.42,5.70225,-2644.12,2635.89,-1228.91,-92.4625,-1131.8,915.69,786.816,7.83272,5200.0,100.0
5300000,95.2853,205.628,9494.42,-2652.5,6.14598,-2645.14,1416.82,-724.326,-75.608,-1563.13,1235.57,634.175,7.83464,5300.0,100.0
5400000,94.1553,256.18,9494.42,-2652.49,6.07309,-2644.9,3053.96,-2153.07,-132.36,-730.825,1578.64,1429.62,7.83404,5400.0,100.0
5500000,101.559,-293.986,9494.42,-2652.92,6.55064,-2648.11,362.153,-882.82,-361.29,-1046.33,617.076,1115.17,7.83623,5500.0,100.0
5600000,102.924,206.704,9494.42,-2653.12,6.63867,-2645.25,1862.88,-1733.95,491.183,-764.452,1424.04,1533.08,7.83705,5600.0,100.0
5700000,104.738,432.617,9494.42,-2652.8,6.75569,-2643.48,1444.51,-229.578,82.9208,-812.438,1634.98,196.589,7.83658,5700.0,100.0
5800000,101.504,83.979,9494.42,-2652.68,6.54706,-2645.63,2003.89,-1151.57,-600.382,-1092.84,1174.61,478.613,7.83508,5800.0,100.0
5900000,101.87,205.036,9494.42,-2652.88,6.57068,-2645.09,855.027,-4.79861,-235.121,-1012.27,140.562,520.018,7.83439,5900.0,100.0
