TimeStep,temp,pressure,vol,pe,ke,enthalpy,pxx,pyy,pzz,pxy,pxz,pyz,visc,time,hold_temp
0,1783.73,3479.68,11081.9,-2693.37,115.052,-2554.25,8296.23,3392.47,-1249.65,-191.951,1342.6,390.197,0.000148021,0.0,1800.0
100000,1821.05,3581.29,11081.9,-2690.59,117.459,-2548.36,2506.0,4449.13,3788.75,249.636,1133.92,4639.4,0.00484105,100.0,1800.0
200000,1891.35,5350.09,11081.9,-2693.85,121.994,-2534.85,4049.52,11042.2,958.537,-788.838,-884.162,3652.4,0.00685807,200.0,1800.0
300000,1877.42,2736.06,11081.9,-2697.95,121.095,-2557.93,4355.47,3527.75,324.979,1101.62,1059.28,102.224,0.00501974,300.0,1800.0
400000,1678.93,1241.94,11081.9,-2691.68,108.293,-2574.79,4384.22,5568.39,-6226.79,1374.07,-426.085,1581.03,0.00422358,400.0,1800.0
500000,1795.42,3353.66,11081.9,-2692.45,115.806,-2553.45,4132.17,1549.41,4379.41,2763.12,4085.1,-832.001,0.00457118,500.0,1800.0
600000,1787.61,2544.4,11081.9,-2694.27,115.303,-2561.37,450.985,5486.08,1696.13,3895.76,-702.7,2091.98,0.00376516,600.0,1800.0
700000,1860.12,7037.03,11081.9,-2687.49,119.979,-2518.84,1121.62,10970.8,9018.71,2857.06,2034.16,98.1362,0.00367639,700.0,1800.0
800000,1699.99,4512.39,11081.9,-2692.69,109.651,-2551.83,9461.67,5264.65,-1189.14,-1511.17,1285.53,1033.77,0.00306839,800.0,1800.0
900000,1741.63,5879.2,11081.9,-2690.18,112.336,-2537.18,6805.19,6781.8,4050.61,-885.683,2317.11,-750.468,0.00383054,900.0,1800.0
1000000,1757.26,2768.35,11081.9,-2693.32,113.345,-2560.83,4746.19,-1300.12,4858.97,-7043.64,-158.563,-1841.99,0.00451836,1000.0,1800.0
1100000,1740.5,2772.83,11081.9,-2689.31,112.263,-2557.87,3952.09,6249.21,-1882.81,3389.56,1353.32,-576.109,0.00431874,1100.0,1800.0
1200000,1838.17,1644.31,11081.9,-2693.01,118.563,-2563.07,1833.43,1564.31,1535.19,-1999.74,2999.73,255.532,0.00410247,1200.0,1800.0
1300000,1812.02,3726.95,11081.9,-2694.91,116.877,-2552.26,2658.37,8926.62,-404.125,-2016.99,-3060.41,-2638.2,0.00417757,1300.0,1800.0
1400000,1832.38,2771.9,11081.9,-2694.93,118.19,-2557.57,1896.4,2796.55,3622.76,-2940.51,-2002.8,4593.55,0.00394434,1400.0,1800.0
1500000,1634.95,4145.1,11081.9,-2689.05,105.456,-2554.93,2439.35,5748.49,4247.47,9.23616,2889.08,1068.66,0.00377539,1500.0,1800.0
1600000,1842.01,5728.22,11081.9,-2693.08,118.811,-2534.65,5259.95,10084.3,1840.4,-3164.3,-70.3797,-1815.13,0.00389818,1600.0,1800.0
1700000,1708.93,2882.49,11081.9,-2693.45,110.228,-2563.28,2081.09,1704.67,4861.71,-2947.23,-1922.02,-1018.56,0.00392729,1700.0,1800.0
1800000,1797.5,4402.9,11081.9,-2690.24,115.94,-2543.85,3972.55,5726.54,3509.59,2524.81,1263.84,-1562.34,0.00409245,1800.0,1800.0
1900000,1802.12,3345.77,11081.9,-2688.47,116.238,-2549.09,4358.27,1182.2,4496.83,-3749.26,-192.653,2568.02,0.00400209,1900.0,1800.0
2000000,1810.89,5291.29,11081.9,-2688.53,116.804,-2535.13,2086.26,8668.52,5119.09,311.376,3255.5,-4987.8,0.00379482,2000.0,1800.0
2100000,1909.09,4958.6,11081.9,-2699.78,123.138,-2542.35,4730.46,6212.68,3932.68,-148.234,82.2594,3428.05,0.00370036,2100.0,1800.0
