composition,tg,tl,m,dmax,tg/tl
Nb3Cr8.5Ni69P19.5,660,1136,,1.0,0.5809859154929577
Nb3Cr8.5Ni69B1.5P18,664,1134,77.0,3.0,0.5855379188712522
Nb3Cr8.5Ni69B3P16.5,668,1134,59.0,10.0,0.5890652557319224
Nb3Cr8.5Ni69B4P15.5,668,1187,,7.0,0.5627632687447346
Nb3Cr8.5Ni69B5P14.5,668,1214,,5.0,0.5502471169686985
Nb3Cr8.5Ni69B6P13.5,671,1243,54.0,4.0,0.5398230088495575
Ni4P,581,1161,94.0,0.12,0.5004306632213609
Si8Ni75B17,818,1419,,0.8,0.57646229739253
Fe80P13C7,736,1258,,0.72,0.5850556438791733
Fe79Si10B11,818,1419,,0.5,0.57646229739253
Fe74.5B2.5Mo5.5P12.5C5,695,1219,63.0,3.0,0.5701394585726005
Cr2Fe68Ni5B2.5Mo5P12.5C5,688,1213,62.0,6.0,0.5671887881286067
Y2Cr15Fe48B6Mo14C15,822,1452,51.0,9.0,0.5661157024793388
Y2Cr15Fe41Co7B6Mo14C15,820,1407,43.0,16.0,0.5828002842928216
Si9.4Ge13.6Au77,293,625,84.7,0.06,0.4688
Cu6Si16.5Pd77.5,622,1037,63.0,11.0,0.5998071359691417
Si16.5Pd79.5Au4,620,1040,77.0,2.0,0.5961538461538461
Ni4P5Pd16,582,983,66.9,4.0,0.5920651068158698
Ni8P5Pd12,565,923,48.1,,0.6121343445287107
Ni2PPd2,567,963,48.0,25.0,0.5887850467289719
Ni16P5Pd4,567,1048,65.3,2.5,0.541030534351145
SiNi40P19Pd40,567,884,48.2,,0.6414027149321267
Cu3Ni(PPd2)2,578,862,57.6,85.0,0.6705336426914154
Cu30Ni7.5P20Pd42.5,566,834,58.0,150.0,0.6786570743405276
ZrCu,673,1208,58.0,2.5,0.5571192052980133
Zr11Ti34Cu47Ni8,671,1160,67.0,4.0,0.5784482758620689
Zr52.5Ti5Al10Cu17.9Ni14.6,661,1091,51.4,18.0,0.6058661778185152
Zr57Nb5Al10Cu15.4Ni12.6,674,1115,48.0,20.0,0.6044843049327354
Zr58.5Nb2.8Al10.3Cu15.6Ni12.8,666,1101,47.5,32.0,0.6049046321525886
Zr5AlCu4,706,1123,57.0,22.0,0.628673196794301
Zr46.75Ti8.25Be275Cu8.25Ni10,595,1050,43.9,12.0,0.5666666666666667
Zr11Al4Co5,753,1293,64.5,10.0,0.5823665893271461
Zr41.2Ti13.8Be22.5Cu12.5Ni10,608,991,43.0,50.0,0.6135216952573158
Y2Mg13Cu5,413,735,44.5,7.0,0.5619047619047619
Gd11Mg59.4Cu23Ag6.6,425,700,44.0,34.0,0.6071428571428571
Gd11Mg61Cu28,418,734,38.1,12.0,0.5694822888283378
La11Al5Ni4,447,876,37.3,3.0,0.5102739726027398
La62.5Al12.5Cu15Ni5Ag5,391,717,,8.0,0.5453277545327755
La62.5Al12.5Co5Cu10Ni5Ag5,404,691,,12.0,0.5846599131693199
La65Al14Co5Cu9.2Ni5Ag1.8,419,687,,30.0,0.6098981077147017
