composition,diff_tcut,dmax,source,tg_exp,tg_md,tl,visc_tcut,tg_md/tl,tg_exp/tl,tg_md/visc_tcut,tg_md/diff_tcut,tg_exp/visc_tcut,tg_exp/diff_tcut,$log(dmax^{2})$
Zr48Al7Cu45,822.7598123920021,5.0,inoue,708.0,807.7697407215721,1186.0,961.8584964648164,0.6810874710974469,0.596964586846543,0.8398010140685173,0.9817807439733238,0.7360750075007502,0.8605184518451844,1.3979400086720377
Zr48Al7Cu45,822.7598123920021,5.0,inoue,698.0,807.7697407215721,1208.0,961.8584964648164,0.6686835601999769,0.5778145695364238,0.8398010140685173,0.9817807439733238,0.7256784678467847,0.8483642364236422,1.3979400086720377
Zr47Al7Cu46,843.8686809013417,3.0,inoue,705.0,833.0563883668367,1163.0,957.4834817581154,0.7162995600746661,0.6061908856405847,0.8700477911506027,0.987187233299195,0.7363051305130514,0.8354380438043806,0.9542425094393249
Zr47Al7Cu46,843.8686809013417,3.0,inoue,705.0,833.0563883668367,1163.0,957.4834817581154,0.7162995600746661,0.6061908856405847,0.8700477911506027,0.987187233299195,0.7363051305130514,0.8354380438043806,0.9542425094393249
Zr9Cu9Ag2,738.9970806695984,6.0,inoue,683.0,736.0053669646965,1159.0,858.3200995750891,0.6350348291326112,0.5893011216566005,0.8574952017656997,0.9959516569372762,0.7957404240424042,0.9242255725572556,1.5563025007672873
ZrCu,763.6613586894258,2.0,inoue,686.0,725.431915087509,1237.0,886.5147619469813,0.5864445554466523,0.5545675020210186,0.8182964866758689,0.9499392719470249,0.7738167816781677,0.8983039303930396,0.6020599913279624
ZrCu,763.6613586894258,2.0,inoue,670.0,725.431915087509,1208.0,886.5147619469813,0.6005231085161498,0.554635761589404,0.8182964866758689,0.9499392719470249,0.7557685768576856,0.8773522352235227,0.6020599913279624
Nb2Ni3,1091.534304896021,1.0,inoue,891.0,1117.8885125932593,1478.0,1294.2013978772973,0.7563521736084299,0.6028416779431665,0.8637670415337056,1.0241441863796932,0.6884554455445545,0.8162821782178218,0.0
Zr25Cu24Ag,752.2004062288423,2.0,inoue,668.0,725.9079544254428,1192.0,885.0238980350503,0.6089831832428211,0.5604026845637584,0.8202128281926847,0.9650459484125822,0.7547818781878189,0.888061206120612,0.6020599913279624
ZrCu,763.6613586894258,2.5,johnson,673.0,725.431915087509,1208.0,886.5147619469813,0.6005231085161498,0.5571192052980133,0.8182964866758689,0.9499392719470249,0.759152615261526,0.8812806780678071,0.7958800173440752
Ni4P,591.2195121951219,0.12,johnson,581.0,618.0442721847185,1161.0,721.7670624751863,0.5323378744054422,0.5004306632213609,0.85629326179728,1.0453719125236576,0.804968846884689,0.9827145214521453,-1.8416375079047504
Zr5AlCu4,840.4993065187241,22.0,johnson,706.0,836.1007979477948,1123.0,974.3239951278928,0.7445243080568075,0.628673196794301,0.8581342573196564,0.9947667909576897,0.7246049604960496,0.8399768976897689,2.6848453616444123
