composition,diff_tcut,dmax,source,tg_exp,tg_md,tl,visc_tcut,tg_md/tl,tg_exp/tl,tg_md/visc_tcut,tg_md/diff_tcut,tg_exp/visc_tcut,tg_exp/diff_tcut,$log(dmax^{2})$
ZrCu,1248.1587816751967,2.5,johnson,673.0,725.431915087509,1208.0,811.3437195715677,0.6005231085161498,0.5571192052980133,0.8941117033241784,0.5812016273393373,0.8294881488148814,0.5391942194219421,0.7958800173440752
Ni4P,1085.9035621198957,0.12,johnson,581.0,618.0442721847185,1161.0,659.3689208348446,0.5323378744054422,0.5004306632213609,0.9373269692514413,0.5691520810357924,0.8811455645564555,0.5350383038303831,-1.8416375079047504
Zr5AlCu4,1318.5204720775364,22.0,johnson,706.0,836.1007979477948,1123.0,898.6249662981936,0.7445243080568075,0.628673196794301,0.9304224001165229,0.6341204521689273,0.7856447644764476,0.5354486448644866,2.6848453616444123
Zr48Al7Cu45,1297.3919813156872,5.0,inoue,708.0,807.7697407215721,1186.0,897.0931275794006,0.6810874710974469,0.596964586846543,0.9004301960278671,0.6226104002141369,0.7892157215721572,0.5457101710171016,1.3979400086720377
Zr48Al7Cu45,1297.3919813156872,5.0,inoue,698.0,807.7697407215721,1208.0,897.0931275794006,0.6686835601999769,0.5778145695364238,0.9004301960278671,0.6226104002141369,0.7780686068606861,0.538002400240024,1.3979400086720377
Zr47Al7Cu46,1300.598335067638,3.0,inoue,705.0,833.0563883668367,1163.0,893.2862822173582,0.7162995600746661,0.6061908856405847,0.9325749258109998,0.6405178031567397,0.7892206720672068,0.5420582058205821,0.9542425094393249
Zr47Al7Cu46,1300.598335067638,3.0,inoue,705.0,833.0563883668367,1163.0,893.2862822173582,0.7162995600746661,0.6061908856405847,0.9325749258109998,0.6405178031567397,0.7892206720672068,0.5420582058205821,0.9542425094393249
Zr9Cu9Ag2,1224.9173098125689,6.0,inoue,683.0,736.0053669646965,1159.0,787.6639489542717,0.6350348291326112,0.5893011216566005,0.9344154546387976,0.6008612671799998,0.8671210621062104,0.5575886588658866,1.5563025007672873
ZrCu,1248.1587816751967,2.0,inoue,686.0,725.431915087509,1237.0,811.3437195715677,0.5864445554466523,0.5545675020210186,0.8941117033241784,0.5812016273393373,0.8455109510951094,0.5496095609560956,0.6020599913279624
ZrCu,1248.1587816751967,2.0,inoue,670.0,725.431915087509,1208.0,811.3437195715677,0.6005231085161498,0.554635761589404,0.8941117033241784,0.5812016273393373,0.8257905790579058,0.5367906790679068,0.6020599913279624
Nb2Ni3,1694.1714672992202,1.0,inoue,891.0,1117.8885125932593,1478.0,1194.338270425227,0.7563521736084299,0.6028416779431665,0.9359898617292496,0.6598437845109929,0.746019801980198,0.525920792079208,0.0
Zr25Cu24Ag,1246.6803815223489,2.0,inoue,668.0,725.9079544254428,1192.0,812.596505485575,0.6089831832428211,0.5604026845637584,0.8933190698274901,0.5822727021171381,0.822056205620562,0.5358229822982299,0.6020599913279624
