composition,dmax,m,source,tg,tl
Cu46Zr54,2.0,,inoue,696.0,1201.0
Cu46Zr47Al7,3.0,,inoue,705.0,1163.0
Cu50Zr43Al7,4.0,,inoue,721.0,1176.0
Cu45Zr48Al7,5.0,,inoue,708.0,1186.0
Cu45Zr45Ag10,6.0,,inoue,683.0,1159.0
Cu50Zr50,2.0,,inoue,686.0,1237.0
Cu48Zr48Ag4,3.0,,inoue,681.0,1199.0
Cu46Zr46Ag8,4.0,,inoue,677.0,1167.0
Cu44Zr44Ag12,4.0,,inoue,684.0,1156.0
Cu42Zr42Ag16,2.0,,inoue,685.0,1232.0
Cu50Zr50,2.0,,inoue,670.0,1208.0
Cu64Zr36,2.0,,inoue,787.0,1230.0
Cu57Zr36Ag7,4.0,,inoue,712.0,1156.0
Cu54Zr36Ag10,6.0,,inoue,719.0,1146.0
Zr54Cu46,2.0,,inoue,696.0,1201.0
Zr47Cu46Al7,3.0,,inoue,705.0,1163.0
Zr48Cu45Al7,5.0,,inoue,698.0,1208.0
Zr50Cu48Ag2,2.0,,inoue,668.0,1192.0
Zr50Cu45Ag5,4.0,,inoue,669.0,1188.0
Zr50Cu43Ag7,4.0,,inoue,669.0,1171.0
Zr50Cu40Ag10,5.0,,inoue,667.0,1177.0
Zr50Cu38Ag12,4.0,,inoue,663.0,1187.0
Ni60Nb40,1.0,,inoue,891.0,1478.0
Ni80P20  ribbons,0.12,94.0,johnson,581.0,1161.0
Zr50Cu50,2.5,58.0,johnson,673.0,1208.0
Zr50Cu40Al10,22.0,57.0,johnson,706.0,1123.0
Al90Fe8Si2,0.0,,ward,,
Al88Fe10Si2,0.0,,ward,,
Al86Fe12Si2,0.0,,ward,,
Al85Fe8Si7,0.0,,ward,,
Al84Fe14Si2,0.0,,ward,,
Al20Mg50Zn30,0.0,,ward,,
Al20Mg40Zn40,0.0,,ward,,
Al10Mg60Zn30,0.0,,ward,,
Al10Mg50Zn40,0.0,,ward,,
Al10Mg40Zn50,0.0,,ward,,
Al20Mg70Zn10,0.0,,ward,,
Al15Mg80Zn5,0.0,,ward,,
Al15Mg75Zn10,0.0,,ward,,
Al15Mg70Zn15,0.0,,ward,,
Al10Mg80Zn10,0.0,,ward,,
Al5Mg80Zn15,0.0,,ward,,
Al0Mg85Zn15,0.0,,ward,,
Al0Mg80Zn20,0.0,,ward,,
Al20Mg60Zn20,0.0,,ward,,
Al0Mg55Zn45,0.0,,ward,,
Al30Mg40Zn30,0.0,,ward,,
Al30Mg50Zn20,0.0,,ward,,
Al40Mg40Zn20,0.0,,ward,,
Al10Mg80Zn10,0.0,,ward,,
Al40Mg50Zn10,0.0,,ward,,
Al30Mg60Zn10,0.0,,ward,,
Al10Mg85Zn5,0.0,,ward,,
Al5Mg90Zn5,0.0,,ward,,
Al5Mg85Zn10,0.0,,ward,,
Al0Mg95Zn5,0.0,,ward,,
Al0Mg90Zn10,0.0,,ward,,
Al50Mg40Zn10,0.0,,ward,,
Al88Co12Ni0,0.0,,ward,,
Al88Co11Ni1,0.0,,ward,,
Al88Co10Ni2,0.0,,ward,,
Al88Co9Ni3,0.0,,ward,,
Al88Co8Ni4,0.0,,ward,,
Al88Co7Ni5,0.0,,ward,,
Al88Co6Ni6,0.0,,ward,,
Al88Co3Ni9,0.0,,ward,,
Al88Co2Ni10,0.0,,ward,,
Al89Co1Ni10,0.0,,ward,,
Al88Co1Ni11,0.0,,ward,,
Al88Co0Ni12,0.0,,ward,,
Al87Co5Ni8,0.0,,ward,,
Al87Co4Ni9,0.0,,ward,,
Al87Co3Ni10,0.0,,ward,,
Al86Co14Ni0,0.0,,ward,,
Al86Co5Ni9,0.0,,ward,,
Al86Co3Ni11,0.0,,ward,,
Al86Co2Ni12,0.0,,ward,,
Al86Co1Ni13,0.0,,ward,,
Al86Co0Ni14,0.0,,ward,,
Al89Co2Ni9,0.0,,ward,,
Al89Co4Ni7,0.0,,ward,,
Al86Co5Ni9,0.0,,ward,,
Al86Co3Ni11,0.0,,ward,,
Al86Co2Ni12,0.0,,ward,,
Al86Co1Ni13,0.0,,ward,,
Al86Co0Ni14,0.0,,ward,,
Al85Co10Ni5,0.0,,ward,,
Al85Co5Ni10,0.0,,ward,,
Al85Co1Ni14,0.0,,ward,,
Al84Co8Ni8,0.0,,ward,,
Al94Co6Ni0,0.0,,ward,,
Al92Co8Ni0,0.0,,ward,,
Al92Co6Ni2,0.0,,ward,,
Al89Co3Ni8,0.0,,ward,,
Al92Co4Ni4,0.0,,ward,,
Al92Co0Ni8,0.0,,ward,,
Al91Co1Ni8,0.0,,ward,,
Al90Co10Ni0,0.0,,ward,,
Al90Co8Ni2,0.0,,ward,,
Al90Co6Ni4,0.0,,ward,,
Al90Co5Ni5,0.0,,ward,,
Al90Co4Ni6,0.0,,ward,,
Al90Co2Ni8,0.0,,ward,,
Al90Co0Ni10,0.0,,ward,,
Al89Co6Ni5,0.0,,ward,,
Al89Co5Ni6,0.0,,ward,,
Al92Co2Ni6,0.0,,ward,,
Al86Co14Ni0,0.0,,ward,,
Al85Co10Ni5,0.0,,ward,,
Al85Co1Ni14,0.0,,ward,,
Al85Co5Ni10,0.0,,ward,,
Al84Co8Ni8,0.0,,ward,,
Al87Co3Ni10,0.0,,ward,,
Al91Co2Ni7,0.0,,ward,,
Al87Co5Ni8,0.0,,ward,,
Al98Co2Ni0,0.0,,ward,,
Al98Co0Ni2,0.0,,ward,,
Al96Co4Ni0,0.0,,ward,,
Al96Co2Ni2,0.0,,ward,,
Al96Co0Ni4,0.0,,ward,,
Al94Co4Ni2,0.0,,ward,,
Al94Co2Ni4,0.0,,ward,,
Al94Co0Ni6,0.0,,ward,,
Al98Co2Ni0,0.0,,ward,,
Al98Co0Ni2,0.0,,ward,,
Al96Co4Ni0,0.0,,ward,,
Al96Co2Ni2,0.0,,ward,,
Al96Co0Ni4,0.0,,ward,,
Al94Co4Ni2,0.0,,ward,,
Al87Co4Ni9,0.0,,ward,,
Al94Co2Ni4,0.0,,ward,,
Al94Co0Ni6,0.0,,ward,,
Al94Co6Ni0,0.0,,ward,,
Al92Co8Ni0,0.0,,ward,,
Al92Co6Ni2,0.0,,ward,,
Al92Co4Ni4,0.0,,ward,,
Al92Co2Ni6,0.0,,ward,,
Al91Co2Ni7,0.0,,ward,,
Al89Co5Ni6,0.0,,ward,,
Al89Co4Ni7,0.0,,ward,,
Al89Co3Ni8,0.0,,ward,,
Al89Co6Ni5,0.0,,ward,,
Al88Co10Ni2,0.0,,ward,,
Al88Co11Ni1,0.0,,ward,,
Al92Co0Ni8,0.0,,ward,,
Al88Co12Ni0,0.0,,ward,,
Al89Co1Ni10,0.0,,ward,,
Al89Co2Ni9,0.0,,ward,,
Al90Co0Ni10,0.0,,ward,,
Al88Co9Ni3,0.0,,ward,,
Al88Co7Ni5,0.0,,ward,,
Al88Co2Ni10,0.0,,ward,,
Al88Co8Ni4,0.0,,ward,,
Al88Co1Ni11,0.0,,ward,,
Al88Co0Ni12,0.0,,ward,,
Al90Co10Ni0,0.0,,ward,,
Al88Co6Ni6,0.0,,ward,,
Al90Co8Ni2,0.0,,ward,,
Al90Co6Ni4,0.0,,ward,,
Al90Co5Ni5,0.0,,ward,,
Al90Co4Ni6,0.0,,ward,,
Al90Co2Ni8,0.0,,ward,,
Al91Co1Ni8,0.0,,ward,,
Al88Co3Ni9,0.0,,ward,,
Al10Mg75Zn15,0.2,,ward,,
Al10Mg70Zn20,0.2,,ward,,
Al10Mg65Zn25,0.2,,ward,,
Al5Mg75Zn20,0.2,,ward,,
Al5Mg70Zn25,0.2,,ward,,
Al5Mg65Zn30,0.2,,ward,,
Al5Mg60Zn35,0.2,,ward,,
Al5Mg50Zn45,0.2,,ward,,
Al0Mg75Zn25,0.2,,ward,,
Al0Mg70Zn30,0.2,,ward,,
Al0Mg65Zn35,0.2,,ward,,
Al0Mg60Zn40,0.2,,ward,,
Al63Fe12Si25,0.2,,ward,,
Al52Fe23Si25,0.2,,ward,,
Al5Fe85Si10,0.2,,ward,,
Al88Co5Ni7,0.2,,ward,,
Al88Co4Ni8,0.2,,ward,,
Al87Co2Ni11,0.2,,ward,,
Al87Co1Ni12,0.2,,ward,,
Al88Co5Ni7,0.2,,ward,,
Al88Co4Ni8,0.2,,ward,,
Al87Co1Ni12,0.2,,ward,,
Al0Cu33Zr67,0.2,,ward,,
Al7.5Cu27.5Zr65,0.2,,ward,,
Al10Cu25Zr65,0.2,,ward,,
Al15Cu25Zr60,0.2,,ward,,
Al20Cu25Zr55,0.2,,ward,,
Al0Cu60Zr40,0.2,,ward,,
Al0Cu56Zr44,0.2,,ward,,
Al0Cu40Zr60,0.2,,ward,,
Al5Cu30Zr65,0.2,,ward,,
Al7.5Cu27.5Zr65,0.2,,ward,,
Al10Cu25Zr65,0.2,,ward,,
Al15Cu20Zr65,0.2,,ward,,
Al20Cu15Zr65,0.2,,ward,,
Ni60Nb40,1.0,,ward,,
Zr50Cu48Ag2,2.0,,ward,,
Cu46Zr54,2.0,,ward,,
Zr54Cu46,2.0,,ward,,
Cu64Zr36,2.0,,ward,,
Cu50Zr50,2.0,,ward,,
Cu42Zr42Ag16,2.0,,ward,,
Cu50Zr50,2.0,,ward,,
Cu48Zr48Ag4,3.0,,ward,,
Zr47Cu46Al7,3.0,,ward,,
Cu46Zr47Al7,3.0,,ward,,
Cu50Zr43Al7,4.0,,ward,,
Cu46Zr46Ag8,4.0,,ward,,
Cu44Zr44Ag12,4.0,,ward,,
Cu57Zr36Ag7,4.0,,ward,,
Zr50Cu45Ag5,4.0,,ward,,
Zr50Cu43Ag7,4.0,,ward,,
Zr50Cu38Ag12,4.0,,ward,,
Cu45Zr48Al7,5.0,,ward,,
Zr50Cu40Ag10,5.0,,ward,,
Zr48Cu45Al7,5.0,,ward,,
Cu54Zr36Ag10,6.0,,ward,,
Cu45Zr45Ag10,6.0,,ward,,
Cu50Zr43Al7,10.0,,ward,,
