Alloy composition (at.%) [ref.],Tg (K),Tx (K),Tl (K),Dmax (mm),Trg,ΔTx,γ,γm,ΔTrg,δ,φ,α,β,βI,1/ω,Alloy,Citation,system
Cu46Zr54 [24],696.0,746.0,1201.0,2.0,0.57952,50.0,0.39325,0.66278,0.09901,1.4772,0.39766999999999997,0.62115,1.6514,2.508,5.0204,Cu46Zr54,[24],"{'Zr', 'Cu'}"
Cu46Zr47Al7 [24],705.0,781.0,1163.0,3.0,0.60619,76.0,0.41808999999999996,0.7368899999999999,0.16594,1.7052,0.44083,0.6715399999999999,1.714,3.7732,6.7627,Cu46Zr47Al7,[24],"{'Zr', 'Al', 'Cu'}"
Cu50Zr43Al7 [24],721.0,792.0,1176.0,4.0,0.6131,71.0,0.4175,0.7338399999999999,0.15604,1.7407,0.44011999999999996,0.67347,1.7116,3.8726,6.6575,Cu50Zr43Al7,[24],"{'Zr', 'Al', 'Cu'}"
Cu45Zr48Al7 [24],708.0,766.0,1186.0,5.0,0.59696,58.0,0.40444,0.69477,0.12134,1.6025,0.41741000000000006,0.6458699999999999,1.6789,3.0744,5.6607,Cu45Zr48Al7,[24],"{'Zr', 'Al', 'Cu'}"
Cu45Zr45Ag10 [26],683.0,756.0,1159.0,6.0,0.5893,73.0,0.4104,0.7153,0.1534,1.5882,0.428,0.6523,1.6962,3.1793,6.1784,Cu45Zr45Ag10,[26],"{'Ag', 'Zr', 'Cu'}"
Cu50Zr50 [27],686.0,744.0,1237.0,2.0,0.5546,58.0,0.3869,0.6483,0.1053,1.3503,0.3895,0.6015,1.6391,2.0999,4.7945,Cu50Zr50,[27],"{'Zr', 'Cu'}"
Cu48Zr48Ag4 [27],681.0,743.0,1199.0,3.0,0.568,62.0,0.3952,0.6714,0.1197,1.4344,0.4032,0.6197,1.659,2.4334,5.206,Cu48Zr48Ag4,[27],"{'Ag', 'Zr', 'Cu'}"
Cu46Zr46Ag8 [27],677.0,745.0,1167.0,4.0,0.5801,68.0,0.40399999999999997,0.6967,0.1388,1.5204,0.4176,0.6384,1.6806,2.8322,5.7323,Cu46Zr46Ag8,[27],"{'Ag', 'Zr', 'Cu'}"
Cu44Zr44Ag12 [27],684.0,764.0,1156.0,4.0,0.5917,80.0,0.4152,0.7301,0.1695,1.6186,0.4353,0.6609,1.7087,3.4008,6.5872,Cu44Zr44Ag12,[27],"{'Ag', 'Zr', 'Cu'}"
Cu42Zr42Ag16 [27],685.0,757.0,1232.0,2.0,0.556,72.0,0.3949,0.6729,0.1316,1.3839,0.4029,0.6145,1.6611,2.2983,5.2568,Cu42Zr42Ag16,[27],"{'Ag', 'Zr', 'Cu'}"
Cu50Zr50 [28],670.0,717.0,1208.0,2.0,0.5546,47.0,0.3818,0.6325,0.0874,1.3327,0.3793,0.5935,1.6248,1.9926,4.5264,Cu50Zr50,[28],"{'Zr', 'Cu'}"
Cu64Zr36 [28],787.0,833.0,1230.0,2.0,0.6398,46.0,0.413,0.7146,0.1038,1.8804,0.4263,0.6772,1.6983,4.1595,6.0823,Cu64Zr36,[28],"{'Zr', 'Cu'}"
Cu57Zr36Ag7 [28],712.0,755.0,1156.0,4.0,0.6159,43.0,0.4042,0.6903,0.0969,1.7005,0.4123,0.6531,1.6763,3.343,5.5329999999999995,Cu57Zr36Ag7,[28],"{'Ag', 'Zr', 'Cu'}"
Cu54Zr36Ag10 [28],719.0,759.0,1146.0,6.0,0.6274,40.0,0.40700000000000003,0.6972,0.0937,1.7775,0.4151,0.6623,1.683,3.6438,5.6736,Cu54Zr36Ag10,[28],"{'Ag', 'Zr', 'Cu'}"
Zr54Cu46 [24],696.0,746.0,1201.0,2.0,0.57952,50.0,0.39325,0.66278,0.09901,1.4772,0.39766999999999997,0.62115,1.6514,2.508,5.0204,Zr54Cu46,[24],"{'Zr', 'Cu'}"
Zr47Cu46Al7 [24],705.0,781.0,1163.0,3.0,0.60619,76.0,0.41808999999999996,0.7368899999999999,0.16594,1.7052,0.44083,0.6715399999999999,1.714,3.7732,6.7627,Zr47Cu46Al7,[24],"{'Zr', 'Al', 'Cu'}"
Zr48Cu45Al7 [24],698.0,758.0,1208.0,5.0,0.57781,60.0,0.39769,0.67715,0.11765,1.4863,0.40681,0.62748,1.6638,2.6128,5.3073,Zr48Cu45Al7,[24],"{'Zr', 'Al', 'Cu'}"
Zr50Cu48Ag2 [28],668.0,719.0,1192.0,2.0,0.5604,51.0,0.3866,0.6459999999999999,0.0973,1.3721,0.3879,0.6032,1.6367,2.1468,4.7441,Zr50Cu48Ag2,[28],"{'Ag', 'Zr', 'Cu'}"
Zr50Cu45Ag5 [28],669.0,728.0,1188.0,4.0,0.5631,59.0,0.392,0.6625,0.1137,1.4027,0.3979,0.6128,1.6513,2.3017,5.0393,Zr50Cu45Ag5,[28],"{'Ag', 'Zr', 'Cu'}"
Zr50Cu43Ag7 [28],669.0,727.0,1171.0,4.0,0.5713,58.0,0.3951,0.6704,0.1155,1.4482,0.4027,0.6208,1.6580000000000001,2.4671,5.1801,Zr50Cu43Ag7,[28],"{'Ag', 'Zr', 'Cu'}"
Zr50Cu40Ag10 [28],667.0,733.0,1177.0,5.0,0.5667,66.0,0.3975,0.6788,0.1294,1.4373,0.4071,0.6228,1.6656,2.4801,5.361000000000001,Zr50Cu40Ag10,[28],"{'Ag', 'Zr', 'Cu'}"
Zr50Cu38Ag12 [28],663.0,734.0,1187.0,4.0,0.5586,71.0,0.3968,0.6782,0.1355,1.4008,0.4058,0.6184,1.6656,2.3714,5.3616,Zr50Cu38Ag12,[28],"{'Ag', 'Zr', 'Cu'}"
Ni60Nb40 [24],891.0,924.0,1478.0,1.0,0.6028399999999999,33.0,0.39004,0.6475,0.056220000000000006,1.5741,0.37629,0.62517,1.6399,2.6824,4.7154,Ni60Nb40,[24],"{'Ni', 'Nb'}"
