Alloy,Tg (K),TL (K),trg,m,dexp (mm),dcalc (mm),τ∗est (s),τ*TTT (s),References
Ni69Cr8.5Nb3P19.5,660,1136,0.581,,1,0.9,4.2 x 10-3,,"[1]"
Ni69Cr8.5Nb3P18B1.5,664,1134,0.586,77,3,3.5,6.8 x 10-2,,"[1]"
Ni69Cr8.5Nb3P16.5B3,668,1134,0.589,59,10,9.4,1.45,,"[1]"
Ni69Cr8.5Nb3P15.5B4,668,1187,0.563,,7,,0.59,,"[1]"
Ni69Cr8.5Nb3P14.5B5,668,1214,0.550,,5,,0.25,,"[1]"
Ni69Cr8.5Nb3P13.5B6,671,1243,0.540,54,4,2.7,0.14,,"[1]"
Ni80P20  ribbons,581,1161,0.50,94,0.12,0.12,1.9 x 10-5,,"[2,3,22]"
Ni75Si8B17,818,1419,0.583,,0.8,0.69,2.4 x 10-3,,"[4,5,6]"
Fe80P13C7 ribbons/cappillaries,736,1258,0.585,,0.72,0.93,1.8 x 10-3,,"[4,5,6]"
Fe79Si10B11 ribbons,818,1419,0.576,,0.5,,7.2 x 10-4,,"[5]"
Fe74.5Mo5.5P12.5C5B2.5,695,1219,0.570,63,3,4.4,6.8 x 10-2,,"[11,15]"
Fe68Mo5Ni5Cr2P12.5C5B2.5,688,1213,0.567,62,6,4.3,0.39,,"[11,15]"
Fe48Cr15Mo14C15B6Y2,822,1452,0.566,51,9,7.2,1.1,,"[12,13,15]"
Fe41Co7Cr15Mo14C15B6Y2,820,1407,0.583,43,16,17.8,4.8,,"[12-15]"
Au77Si9.4Ge13.6,293,625,0.469,84.7,0.06,0.05,3.3 x 10-6,,"[16,17]"
Pd77.5Cu6Si16.5,622,1037,0.601,63,11,8,1.9,,"[20-26]"
Pd79.5Au4Si16.5,620,1040,0.596,77,2,4.2,2.4 x 10-2,,"[21,22]"
Pd64Ni16P20,582,983,0.571,66.9,4.0,4.1,0.14,,"[22,27-30]"
Pd48Ni32P20,565,923,0.612, 48.1,,31,26,,"[22,27-30,32]"
Pd40Ni40P20,567,963,0.589,48,25,25,15,,"[22,27-33,37,38]"
Pd16Ni64P20,567,1048,0.541,65.3,2.5,2.3,4.3 x 10-2,,"[22,27-30]"
Pd40Ni40P19Si1,567,884,0.641,48.2,,,,,"[32,37]"
Pd40Cu30Ni10P20,578,862,0.670,57.6,85,107,330,400,"[24,31,32,35,36-40]"
Pd42.5Cu30Ni7.5P20,566,834,0.679,58,150,130,1400,,"[38,40-42]"
Zr50Cu50,673,1208,0.557,58,2.5,3.0,4.3 x 10-2,,"[44-46]"
Zr11Ti34Cu47Ni8 Vit. 101,671,1160,0.578,67,4,4.7,0.14,,"[47-49,52-54]"
Zr52.5Cu17.9Ni14.6Al10Ti5 Vitreloy 105,661,1091,0.606,51.4,18,22,6.5,12,"[50,53,54,56]"
Zr57Nb5Cu15.4Ni12.6Al10 Vitreloy 106,674,1115,0.604,48,20,24.6,8.4,6,"[51-54,56,57]"
Zr58.5Nb2.8Cu15.6Ni12.8Al10.3 Vitreloy 106a,666,1101,0.605,47.5,32,25,28,32,"[31,51,54-56]"
Zr50Cu40Al10,706,1123,0.619,57,22,25,10.8,,"[58-60]"
Zr46.75Ti8.25Cu8.25Ni10Be275 Vitreloy 4,595,1050,0.567,43.9,12,10.5,2.3,,"[34,64-86]"
Zr55Co25Al20,753,1293,0.582,64.5,10,7.3,1.5,1.7,"[56,57]"
Zr41.2Ti13.8Cu12.5Ni10Be22.5 Vitreloy 1,608,991,0.614,43,50,42,50,70,"[31,34,54,56,57,61-63,65,67,68]"
Mg65Cu25Y10,413,735,0.562,44.5,7,8.8,0.6,,"[31,60,69-72]"
Mg59.4Cu23Ag6.6Gd11,425,700,0.607,44,34,27,33,,"[60,70-72]"
Mg61Cu28Gd11,418,734,0.569,38.1,12,9.3,2.3,,"[70-72]"
La55Al25Ni20,447,876,0.510,37.3,3,3.4,6.8 x 10-2,,"[31,60,73,75]"
La62.5Al12.5Cu15Ni5Ag5,391,717,0.545,,8,,0.82,,"[72,74,75]"
La62.5Al12.5Cu10Ni5Co5Ag5,404,691,0.585,,12,,2.3,,"[72,74,75]"
La65Al14Cu9.2Ag1.8Ni5Co5,419,687,0.610,,30,,24,,"[76]"
