glass_forming_category,measurements,composition,source,data,id,D_max,dT_x,system
None,['D_max'],Al90Fe8Si2,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1262,0.0,,"{'Si', 'Al', 'Fe'}"
None,['D_max'],Al88Fe10Si2,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1261,0.0,,"{'Si', 'Al', 'Fe'}"
None,['D_max'],Al86Fe12Si2,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1260,0.0,,"{'Si', 'Al', 'Fe'}"
None,['D_max'],Al85Fe8Si7,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1259,0.0,,"{'Si', 'Al', 'Fe'}"
None,['D_max'],Al84Fe14Si2,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1258,0.0,,"{'Si', 'Al', 'Fe'}"
None,['D_max'],Al20Mg50Zn30,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1761,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al20Mg40Zn40,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1760,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al10Mg60Zn30,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1759,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al10Mg50Zn40,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1758,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al10Mg40Zn50,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1757,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al20Mg70Zn10,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1756,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al15Mg80Zn5,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1755,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al15Mg75Zn10,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1754,0.0,,"{'Mg', 'Al', 'Zn'}"
